Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,36c069a8-8f9e-b246-f3af-1b6cffe0751a_123150_5.png,2190307,341832,4019,1114711,0.7965702818372519,0.6619167449623561,0.9981684581051311,0.6627216553737377,0.6935715852855854,0.7965702818372519,0.988379388811945,0.2346872011330939,0.0018315418948688573,0.25,1.75
HistoKit (no postprocessing),gaussian,76bd570a-7866-8dee-341c-c3f9290b76cf_114927_1.png,2686970,424712,58880,281817,0.940381690035605,0.8874721031077725,0.9785567310668828,0.9050733515068612,0.9013152959162363,0.940381690035605,0.8782444705454184,0.6011246530574117,0.021443268933117248,0.25,1.75
HistoKit (no postprocessing),gaussian,96e6b3f2-f43e-7954-4202-361d3af0da92_104636_1.png,4604604,242975,93964,367306,0.9523012202706009,0.9089456232034195,0.9800015664347095,0.9261237633022319,0.9131129930423714,0.9523012202706008,0.7211245952531468,0.3981362683747323,0.019998433565290533,0.25,1.75
HistoKit (no postprocessing),gaussian,32e0aaf3-9973-5f67-ccc7-24d8d8604aa6_110737_5.png,0,5464999,8909,0,0.0,0.0,0.0,,0.9983724607720846,,0.9983724607720846,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,96e6b3f2-f43e-7954-4202-361d3af0da92_104636_4.png,3273846,359364,7502,1772179,0.7862854227857933,0.6478338791897224,0.997713744473308,0.6487970233996067,0.6712143289048311,0.7862854227857933,0.979551116756527,0.16859336171027278,0.002286255526692079,0.25,1.75
HistoKit (no postprocessing),gaussian,db9f8afe-40d5-d8aa-882f-512377b755a1_120139_3.png,5419722,840886,344641,120651,0.9588409671840191,0.9209361269149062,0.9402117805558047,0.9782233073477183,0.9308208566883243,0.9588409671840191,0.7092929979663053,0.8745227692746093,0.05978821944419531,0.25,1.75
HistoKit (no postprocessing),gaussian,9761f929-4dae-801a-b291-ba7ecada0fc3_101038_1.png,5083709,267176,20275,976639,0.9107054501783,0.836050680991076,0.9960276129392255,0.8388477031351995,0.8429512339631422,0.9107054501783,0.9294662394634216,0.21480364845254318,0.003972387060774485,0.25,1.75
HistoKit (no postprocessing),gaussian,0a6bb222-fb92-5dbe-8347-47a6b9e62ff2_125049_1.png,5672091,221890,52038,1925488,0.8515561217825822,0.7414869267311031,0.9909090099122504,0.7465655835891933,0.7487741546821974,0.8515561217825822,0.8100303729447154,0.10333066651516408,0.009090990087749594,0.25,1.75
HistoKit (no postprocessing),gaussian,d7d9e09c-5b48-9d63-55ef-dabd0e7bf5cd_123455_3.png,0,3205495,3176,0,0.0,0.0,0.0,,0.9990101820971985,,0.9990101820971985,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,4c439187-b529-301f-82bf-3874dfa019f2_103211_1.png,5209178,2767973,7046,73083,0.9923675654153908,0.9848507564412502,0.9986492144509131,0.9861644473834216,0.9900550806227412,0.9923675654153908,0.9974609182856046,0.9742761142335807,0.001350785549086849,0.25,1.75
HistoKit (no postprocessing),gaussian,0fcbbf47-bbbc-4a27-0d18-fe35bf99ccdb_133554_3.png,1753175,233894,9614,898765,0.7942390121794566,0.6587035243320256,0.9945461425048602,0.6610915028243475,0.6862734195191901,0.7942390121794566,0.9605187509239943,0.20649992627966582,0.005453857495139804,0.25,1.75
HistoKit (no postprocessing),gaussian,ed9d6e50-ec08-4213-59eb-4f99b1955e7c_103016_3.png,9738573,212903,116952,529696,0.9678664967450968,0.9377338238637387,0.988133356670497,0.9484142848224953,0.9389846731364909,0.9678664967450968,0.6454442103348441,0.28669982049531445,0.011866643329502994,0.25,1.75
HistoKit (no postprocessing),gaussian,16277008-7349-6ea9-1043-9abf63a9d11e_105523_2.png,6934840,373100,3765,1466989,0.9041256590263352,0.8250267619397272,0.9994573837248265,0.8253964702209483,0.8324632342806344,0.9041256590263352,0.9900096851657756,0.2027619316239595,0.0005426162751734679,0.25,1.75
HistoKit (no postprocessing),gaussian,aedd99b7-9b77-3379-0a55-09f4124063bb_103758_2.png,4562628,131525,23188,816183,0.9157649353056567,0.844618445875314,0.9949435389470489,0.8482595874813226,0.8483116726339309,0.9157649353056567,0.8501224848590616,0.13878219873631964,0.0050564610529511,0.25,1.75
HistoKit (no postprocessing),gaussian,e2bfe175-7bb7-d3b3-d437-ffbd60d747a4_123954_6.png,2224703,164457,9933,676836,0.8662878503945056,0.7641162271181038,0.9955549807664426,0.766732068740072,0.7767279413796613,0.8662878503945057,0.9430414587992431,0.19548124137488365,0.004445019233557501,0.25,1.75
HistoKit (no postprocessing),gaussian,6fecdbd3-f25f-98e1-f3e7-fdc984783bf1_110414_3.png,2331684,783557,372921,964588,0.777114411776812,0.6354759752348813,0.8621162794567044,0.707370022862191,0.6996218067486385,0.777114411776812,0.6775373158849541,0.4482219724336368,0.1378837205432956,0.25,1.75
HistoKit (no postprocessing),gaussian,db9f8afe-40d5-d8aa-882f-512377b755a1_120139_1.png,4106213,7214333,1369173,286181,0.8322465640701353,0.7126903149785466,0.7499403695008899,0.9348462364715006,0.8724285791351659,0.8322465640701354,0.8404879078549021,0.9618451482125092,0.25005963049911,0.25,1.75
HistoKit (no postprocessing),gaussian,cbe296c0-32ef-a6c0-58c3-7dcdd9f9743d_115103_5.png,2645722,657167,34477,224780,0.9532929264249687,0.9107542601857018,0.9871364029312749,0.9216931393881628,0.9272188731174972,0.9532929264249687,0.950152101370069,0.7451320770976033,0.01286359706872512,0.25,1.75
HistoKit (no postprocessing),gaussian,042c1e4d-d1be-7f85-b2e1-b98e0b68f672_101215_1.png,3928788,683457,1349690,27625,0.8508574708678207,0.7404281447231612,0.7443031873960638,0.9930176652437448,0.7700473824454551,0.8508574708678208,0.3361571986678779,0.9611507533589656,0.25569681260393623,0.25,1.75
HistoKit (no postprocessing),gaussian,73e02c87-178a-0dc6-cf2c-3f6aeb0c5685_124434_1.png,0,9476323,1896585,0,0.0,0.0,0.0,,0.8332365829390337,,0.8332365829390337,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,15fe4c3f-571c-b45d-d559-12744253eeb9_122421_3.png,2440136,165771,1082,232328,0.9543557851270377,0.9126964712782201,0.9995567786244407,0.9130659945278964,0.9177936102238672,0.9543557851270377,0.9935152499505553,0.4164064717570253,0.00044322137555924954,0.25,1.75
HistoKit (no postprocessing),gaussian,15fe4c3f-571c-b45d-d559-12744253eeb9_122421_1.png,4751593,1678572,244658,10219,0.9738803694954624,0.9490904769228619,0.9510316835563305,0.9978539681953005,0.9618735379673007,0.9738803694954623,0.8727879660779002,0.993948925592332,0.04896831644366946,0.25,1.75
HistoKit (no postprocessing),gaussian,78f7eac9-40c9-a096-07a4-a0166ddd84e8_103411_4.png,0,3170014,2186,0,0.0,0.0,0.0,,0.9993108883424753,,0.9993108883424753,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,adf4a334-3c2a-d6ae-0b72-c218c11535ea_115443_6.png,0,5887325,42262,0,0.0,0.0,0.0,,0.9928726907961718,,0.9928726907961718,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,a2afe16d-3866-9541-f2c7-cc8ca97faf02_130229_2.png,1340203,2135490,29361,3616,0.9878465369614242,0.9759849400661239,0.9785617904676233,0.9973091614272458,0.9906012819672412,0.9878465369614241,0.9864374037751328,0.9983095741865995,0.021438209532376726,0.25,1.75
HistoKit (no postprocessing),gaussian,adf4a334-3c2a-d6ae-0b72-c218c11535ea_115443_8.png,0,7385211,16380,0,0.0,0.0,0.0,,0.9977869622895942,,0.9977869622895942,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,adf4a334-3c2a-d6ae-0b72-c218c11535ea_115443_5.png,0,5526564,30156,0,0.0,0.0,0.0,,0.9945730574871507,,0.9945730574871507,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,46e107b0-7f41-8fd8-abd7-fbe9d0e935a4_133028_1.png,0,8907490,354766,0,0.0,0.0,0.0,,0.9616976684729941,,0.9616976684729941,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,f010c097-faf6-f2df-c82a-aca0270a9814_110553_3.png,543555,4199137,124564,1174,0.896328311544398,0.8121331016460653,0.8135601591931976,0.9978447998913221,0.9741727826013725,0.8963283115443978,0.9711904222794314,0.9997204968870163,0.18643984080680237,0.25,1.75
HistoKit (no postprocessing),gaussian,15fe4c3f-571c-b45d-d559-12744253eeb9_122421_5.png,3415094,267220,3446,898952,0.8832993257365647,0.790990232292266,0.9989919673310829,0.7916220642988044,0.8031723693876518,0.8832993257365648,0.9872684415478856,0.22914287086296017,0.00100803266891714,0.25,1.75
HistoKit (no postprocessing),gaussian,c149f6be-4555-ddd6-581f-abc8aeab9698_132314_1.png,3643665,2093204,108664,90187,0.9734375912097236,0.9482497925838175,0.9710409188533308,0.9758461235206966,0.9664992620945732,0.9734375912097236,0.9506491760632336,0.9586940680803393,0.028959081146669174,0.25,1.75
HistoKit (no postprocessing),gaussian,f4701930-c3d0-97f5-7529-fedf8cc9402a_110850_3.png,2346121,427369,698,7734,0.9982062146832561,0.9964188531751037,0.999702576125385,0.9967143260736112,0.9969690020065264,0.9982062146832561,0.9983694141337688,0.9822248984723158,0.0002974238746149575,0.25,1.75
HistoKit (no postprocessing),gaussian,4a12a0e8-253e-42bb-77ff-6e284ada3080_105659_1.png,1911616,1400636,38142,9666,0.9876498305364967,0.9756009929448655,0.9804375722525565,0.9949689842511407,0.9857716826485241,0.9876498305364966,0.9734900033222638,0.993146148839043,0.019562427747443527,0.25,1.75
HistoKit (no postprocessing),gaussian,e2bfe175-7bb7-d3b3-d437-ffbd60d747a4_123954_3.png,4622065,274168,13043,743534,0.9243476486212425,0.8593367991400059,0.9971860418354869,0.8614257233908087,0.8661591314762038,0.9243476486212424,0.9545873939368618,0.26939909718168975,0.002813958164513103,0.25,1.75
HistoKit (no postprocessing),gaussian,e4c17e5d-ca75-8d00-1c03-2c4b0f9dc6a7_131509_7.png,0,4733022,115176,0,0.0,0.0,0.0,,0.976243544508702,,0.976243544508702,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,78f7eac9-40c9-a096-07a4-a0166ddd84e8_103411_6.png,0,6301249,518671,0,0.0,0.0,0.0,,0.9239476416145644,,0.9239476416145644,1.0,1.0,0.25,1.75
