Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,36c069a8-8f9e-b246-f3af-1b6cffe0751a_123150_5.png,2190307,341832,4019,1114711,0.7965702818372519,0.6619167449623561,0.9981684581051311,0.6627216553737377,0.6935715852855854,0.7965702818372519,0.988379388811945,0.2346872011330939,0.0018315418948688573,123841,3527028,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,511,3629970,14383,6005,0.04773470340962167,0.02445093066653907,0.03430911776554317,0.07842234499693063,0.994415576127218,0.04773470340962167,0.9960533460946291,0.9983484484904324,0.9656908822344569,0,3435375,0,215494,0.0,0.0,,0.0,0.9409746008416079,,1.0,0.9409746008416079,,0,3650869,0,0,,,,,1.0,,1.0,1.0,,0,2337516,1313353,0,0.0,0.0,0.0,,0.6402629072694748,,0.6402629072694748,1.0,1.0,0,3646414,4455,0,0.0,0.0,0.0,,0.9987797425763565,,0.9987797425763565,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,76bd570a-7866-8dee-341c-c3f9290b76cf_114927_1.png,2686970,424712,58880,281817,0.940381690035605,0.8874721031077725,0.9785567310668828,0.9050733515068612,0.9013152959162363,0.940381690035605,0.8782444705454184,0.6011246530574117,0.021443268933117248,63096,3389283,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,356682,2792482,240171,63044,0.701730018031063,0.5405116252990997,0.5976044352629541,0.8497972486812826,0.9121721572283924,0.7017300180310629,0.9208049849422272,0.9779221061198532,0.4023955647370458,0,3451086,523,770,0.0,0.0,0.0,0.0,0.9996254756502689,,0.999848476464165,0.9997769315985371,1.0,0,3448709,3670,0,0.0,0.0,0.0,,0.9989369649160768,,0.9989369649160768,1.0,1.0,0,3452379,0,0,,,,,1.0,,1.0,1.0,,0,3409992,42387,0,0.0,0.0,0.0,,0.9877223792636903,,0.9877223792636903,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,96e6b3f2-f43e-7954-4202-361d3af0da92_104636_1.png,4604604,242975,93964,367306,0.9523012202706009,0.9089456232034195,0.9800015664347095,0.9261237633022319,0.9131129930423714,0.9523012202706008,0.7211245952531468,0.3981362683747323,0.019998433565290533,109361,5199488,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,5308849,0,0,,,,,1.0,,1.0,1.0,,1091,5081055,216,226487,0.00953317168010136,0.004789414997761135,0.8347360367253251,0.004793960751918023,0.9572971467073182,0.00953317168010136,0.9999574909505909,0.9573273277912827,0.16526396327467482,0,5308849,0,0,,,,,1.0,,1.0,1.0,,0,4998132,310717,0,0.0,0.0,0.0,,0.9414718708330186,,0.9414718708330186,1.0,1.0,0,5119953,188896,0,0.0,0.0,0.0,,0.9644186527060762,,0.9644186527060762,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,32e0aaf3-9973-5f67-ccc7-24d8d8604aa6_110737_5.png,0,5464999,8909,0,0.0,0.0,0.0,,0.9983724607720846,,0.9983724607720846,1.0,1.0,0,5473908,0,0,,,,,1.0,,1.0,1.0,,0,5473908,0,0,,,,,1.0,,1.0,1.0,,0,5473908,0,0,,,,,1.0,,1.0,1.0,,0,5473908,0,0,,,,,1.0,,1.0,1.0,,0,5473359,549,0,0.0,0.0,0.0,,0.9998997060235576,,0.9998997060235576,1.0,1.0,5464450,0,0,9458,0.9991353364005823,0.9982721667956421,1.0,0.9982721667956421,0.9982721667956421,0.9991353364005822,,0.0,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,96e6b3f2-f43e-7954-4202-361d3af0da92_104636_4.png,3273846,359364,7502,1772179,0.7862854227857933,0.6478338791897224,0.997713744473308,0.6487970233996067,0.6712143289048311,0.7862854227857933,0.979551116756527,0.16859336171027278,0.002286255526692079,74134,5338757,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,5405658,7233,0,0.0,0.0,0.0,,0.9986637454920115,,0.9986637454920115,1.0,1.0,531,5120159,0,292201,0.0036213228399082052,0.0018139458617438477,1.0,0.0018139458617438477,0.9460175717560173,0.0036213228399082052,1.0,0.946012275606205,0.0,0,5412891,0,0,,,,,1.0,,1.0,1.0,,0,3929408,1483483,0,0.0,0.0,0.0,,0.7259351795556201,,0.7259351795556201,1.0,1.0,0,4846729,566162,0,0.0,0.0,0.0,,0.8954048769871774,,0.8954048769871774,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,db9f8afe-40d5-d8aa-882f-512377b755a1_120139_3.png,5419722,840886,344641,120651,0.9588409671840191,0.9209361269149062,0.9402117805558047,0.9782233073477183,0.9308208566883243,0.9588409671840191,0.7092929979663053,0.8745227692746093,0.05978821944419531,72384,6653516,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6725709,191,0,0.0,0.0,0.0,,0.9999716023134451,,0.9999716023134451,1.0,1.0,0,6725434,0,466,0.0,0.0,,0.0,0.9999307155919653,,1.0,0.9999307155919653,,0,6725900,0,0,,,,,1.0,,1.0,1.0,,768263,5598151,15072,344414,0.8103988793319874,0.6812358069038412,0.9807591898740641,0.6904636296067952,0.946551985607874,0.8103988793319873,0.9973149115935711,0.9420428720594558,0.0192408101259359,0,6620273,105627,0,0.0,0.0,0.0,,0.9842954846191587,,0.9842954846191587,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,9761f929-4dae-801a-b291-ba7ecada0fc3_101038_1.png,5083709,267176,20275,976639,0.9107054501783,0.836050680991076,0.9960276129392255,0.8388477031351995,0.8429512339631422,0.9107054501783,0.9294662394634216,0.21480364845254318,0.003972387060774485,135415,6212384,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6347662,137,0,0.0,0.0,0.0,,0.999978417716125,,0.999978417716125,1.0,1.0,2893,6195114,649,149143,0.037190348249752536,0.018947506303828143,0.8167701863354038,0.019028388013365257,0.9764025294436701,0.037190348249752536,0.9998952509965278,0.976491652213963,0.18322981366459629,0,6347799,0,0,,,,,1.0,,1.0,1.0,,0,5347898,999901,0,0.0,0.0,0.0,,0.8424806771606977,,0.8424806771606977,1.0,1.0,0,6242979,104820,0,0.0,0.0,0.0,,0.9834871898117757,,0.9834871898117757,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,0a6bb222-fb92-5dbe-8347-47a6b9e62ff2_125049_1.png,5672091,221890,52038,1925488,0.8515561217825822,0.7414869267311031,0.9909090099122504,0.7465655835891933,0.7487741546821974,0.8515561217825822,0.8100303729447154,0.10333066651516408,0.009090990087749594,74113,7797394,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,7871450,57,0,0.0,0.0,0.0,,0.9999927586928399,,0.9999927586928399,1.0,1.0,11513,7025816,645876,188302,0.026861750528462302,0.013613719431801922,0.017513222764603605,0.0576182969246553,0.8940256293998087,0.0268617505284623,0.9158104887422488,0.9738981258693024,0.9824867772353963,0,7871507,0,0,,,,,1.0,,1.0,1.0,,0,6461077,1410430,0,0.0,0.0,0.0,,0.8208183007396169,,0.8208183007396169,1.0,1.0,0,7866118,5389,0,0.0,0.0,0.0,,0.9993153788721778,,0.9993153788721778,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,d7d9e09c-5b48-9d63-55ef-dabd0e7bf5cd_123455_3.png,0,3205495,3176,0,0.0,0.0,0.0,,0.9990101820971985,,0.9990101820971985,1.0,1.0,0,3208671,0,0,,,,,1.0,,1.0,1.0,,0,3208671,0,0,,,,,1.0,,1.0,1.0,,0,3208671,0,0,,,,,1.0,,1.0,1.0,,0,3208671,0,0,,,,,1.0,,1.0,1.0,,0,3062464,146207,0,0.0,0.0,0.0,,0.9544337827094146,,0.9544337827094146,1.0,1.0,3059288,0,0,149383,0.9761672021147554,0.9534439648066131,1.0,0.9534439648066131,0.9534439648066131,0.9761672021147554,,0.0,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,4c439187-b529-301f-82bf-3874dfa019f2_103211_1.png,5209178,2767973,7046,73083,0.9923675654153908,0.9848507564412502,0.9986492144509131,0.9861644473834216,0.9900550806227412,0.9923675654153908,0.9974609182856046,0.9742761142335807,0.001350785549086849,115870,7941410,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,8056988,292,0,0.0,0.0,0.0,,0.9999637594821081,,0.9999637594821081,1.0,1.0,0,8051372,0,5908,0.0,0.0,,0.0,0.9992667500695024,,1.0,0.9992667500695024,,0,8057280,0,0,,,,,1.0,,1.0,1.0,,2637404,5373063,30976,15837,0.9912032442746298,0.9825599048065041,0.9883914584879215,0.9940310736943987,0.9941899747805711,0.9912032442746299,0.9942679910341136,0.9970611813171519,0.011608541512078489,0,8000766,56514,0,0.0,0.0,0.0,,0.9929859704515668,,0.9929859704515668,1.0,1.0,0.25,1.75
