Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,f809f95e-93da-4287-8a36-e23950f18d38_162835_3.png,4127818,647920,4972,9570,0.9982416339769229,0.9964894408018617,0.998796938629836,0.9976869464502724,0.9969642693120235,0.9982416339769229,0.9923846516728647,0.9854446455459399,0.0012030613701639811,0.25,1.75
HistoKit (no postprocessing),gaussian,422cfa7e-fd3c-6102-75fb-900aaca16bc3_143008_7.png,0,4243686,249114,0,0.0,0.0,0.0,,0.9445526175213675,,0.9445526175213675,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,c428abbd-190a-bb14-c088-c4a63bc0a23d_153345_4.png,4541383,291911,3521,1633825,0.8472640957482533,0.7350027813163517,0.9992252861666605,0.7354218675711004,0.746957642520678,0.8472640957482533,0.9880818597849929,0.1515841216033766,0.0007747138333394941,0.25,1.75
HistoKit (no postprocessing),gaussian,22383f59-0019-4bd8-48c3-85b3dbec63de_150057_1.png,5818166,285859,3315,920520,0.9264472359324522,0.8629731736913121,0.9994305572757173,0.863397700976125,0.8685467553423091,0.9264472359324522,0.9885363137764805,0.2369562135945669,0.000569442724282704,0.25,1.75
HistoKit (no postprocessing),gaussian,3387f347-06dd-7f7b-50b8-8d1a72088303_152337_2.png,7076523,315545,21676,1770760,0.887589726042775,0.7978978141628572,0.9969462676377486,0.7998526779351356,0.8048412848423824,0.8875897260427749,0.9357216780686849,0.1512458629011578,0.003053732362251326,0.25,1.75
HistoKit (no postprocessing),gaussian,f9c9fe62-ad13-adcd-2a95-e3f0edb47dd0_140030_2.png,4484909,3633364,14460,23532,0.9957823266698564,0.9916000814521476,0.9967862160227356,0.9947804573687445,0.9953419855779576,0.9957823266698566,0.9960359929645729,0.9935650343898214,0.0032137839772643675,0.25,1.75
HistoKit (no postprocessing),gaussian,471ad0ae-4155-cece-bd54-ae74bd634547_150346_3.png,0,8571243,1340932,175,0.0,0.0,0.0,0.0,0.8647034255247242,,0.8647186919117147,0.9999795833081527,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,d453b2d1-a9e4-4e23-336a-b459202a3483_134957_2.png,3918545,5779772,297309,29774,0.9599367872287861,0.9229600426603556,0.9294783453127172,0.9924590692899941,0.9673745685957668,0.9599367872287861,0.9510770055557923,0.9948749867889849,0.07052165468728282,0.25,1.75
HistoKit (no postprocessing),gaussian,ebe8788e-b613-8ad7-a427-cb1985a3fb1a_141552_1.png,2281104,1517624,17330,35360,0.9885826295619101,0.977423028767749,0.9924600836917657,0.9847353552656117,0.9863193244669886,0.98858262956191,0.9887097593804114,0.9772309309046326,0.007539916308234215,0.25,1.75
HistoKit (no postprocessing),gaussian,58dff1be-4537-9c42-d313-957df44346bb_144618_1.png,6313053,2092454,82756,500021,0.9558799180823996,0.9154884908705696,0.9870609019124867,0.926608605748301,0.9351625961084452,0.9558799180823996,0.9619549376841776,0.8071260089296908,0.012939098087513244,0.25,1.75
HistoKit (no postprocessing),gaussian,05946af2-9c28-2772-aad0-50112b864693_161912_3.png,7511950,673756,10929,38025,0.9967521744720674,0.9935253773887355,0.9985472317180696,0.994963559481985,0.9940551279591385,0.9967521744720674,0.984037915245697,0.9465776692550096,0.001452768281930362,0.25,1.75
HistoKit (no postprocessing),gaussian,4904a2d8-c11b-e076-57bb-00888e6b2940_163059_5.png,2999611,297290,9,1768218,0.7723542182253144,0.6291344210940053,0.9999969996199518,0.6291356086805966,0.6509018133401565,0.7723542182253144,0.9999697274461065,0.1439306940471787,3.000380048139431e-06,0.25,1.75
HistoKit (no postprocessing),gaussian,ef3a72f1-b16d-9fbd-0abf-47c8ae24cc17_170601_4.png,9391917,369670,20703,3582116,0.839063972626904,0.7227478111136694,0.9978005061290055,0.7239011184879829,0.7304168251099226,0.8390639726269041,0.9469661067748025,0.09354504520234648,0.0021994938709944734,0.25,1.75
HistoKit (no postprocessing),gaussian,c428abbd-190a-bb14-c088-c4a63bc0a23d_153345_1.png,7041584,210669,14503,761404,0.9477822811985268,0.9007473113816185,0.9979446115106007,0.9024214826422904,0.903351826570472,0.9477822811985268,0.9355914589735846,0.2167213779212055,0.0020553884893992945,0.25,1.75
HistoKit (no postprocessing),gaussian,2dc79713-fe92-e338-056d-e78ad1a4ce13_164524_11.png,0,5186992,22352,0,0.0,0.0,0.0,,0.9957092486117254,,0.9957092486117254,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,d453b2d1-a9e4-4e23-336a-b459202a3483_134957_4.png,6705102,3231702,277511,66982,0.9749545191726142,0.9511329374240648,0.9602568551343172,0.9901091008321811,0.966493235240651,0.9749545191726143,0.9209193058386596,0.9796943265859961,0.039743144865682804,0.25,1.75
HistoKit (no postprocessing),gaussian,f6e1dfa1-5106-6910-1781-639e714c1d19_164025_2.png,18333663,446257,30079,1191618,0.9677559117847931,0.9375262332168777,0.9983620440757662,0.9389705070057635,0.93892008831086,0.967755911784793,0.936853397601693,0.2724609631382126,0.0016379559242337427,0.25,1.75
HistoKit (no postprocessing),gaussian,05946af2-9c28-2772-aad0-50112b864693_161912_1.png,2604308,2705682,178421,152915,0.9401915395656858,0.887133453511393,0.9358827251953029,0.9445402131057227,0.9412662909393997,0.9401915395656857,0.9381363980412627,0.9465069752749338,0.06411727480469712,0.25,1.75
HistoKit (no postprocessing),gaussian,1be40c17-0405-b8eb-ad17-4ef04954d623_152129_1.png,8051804,3529003,164542,231947,0.9759705049006682,0.9530687441829965,0.9799738229134947,0.9719997619435929,0.9668966184020166,0.9759705049006682,0.9554514700646669,0.9383275502200242,0.020026177086505365,0.25,1.75
HistoKit (no postprocessing),gaussian,270d8023-676b-6232-2685-5d351aceebe3_141155_2.png,11828375,1071882,64958,36385,0.9957343798595283,0.9915049961784511,0.9945382846002883,0.9969333555840995,0.9922053439576668,0.9957343798595283,0.9428609127053938,0.9671694636761718,0.005461715399711755,0.25,1.75
HistoKit (no postprocessing),gaussian,3ac230b9-44c8-f340-4d1e-154210441df7_162156_4.png,8830742,415442,5379,1904162,0.9024301997468196,0.8222075712530107,0.99939124871649,0.8226195595228425,0.8288286059399994,0.9024301997468196,0.9872178432159991,0.17910039817141202,0.000608751283510038,0.25,1.75
HistoKit (no postprocessing),gaussian,3387f347-06dd-7f7b-50b8-8d1a72088303_152337_3.png,10578337,1798376,395051,2640580,0.8745208032058127,0.7770208509378015,0.9639991769178307,0.8002423345271024,0.8030389796646117,0.8745208032058128,0.8198932537987359,0.40513490108935524,0.036000823082169335,0.25,1.75
HistoKit (no postprocessing),gaussian,1488fbc9-017a-a46d-0a46-5c2b5553bccd_165456_2.png,3364273,335640,1393,2007754,0.7700597858038729,0.626095298711063,0.9995861146055491,0.6262576491145707,0.6480774418205449,0.770059785803873,0.9958668735702438,0.1432281554019512,0.0004138853944509051,0.25,1.75
HistoKit (no postprocessing),gaussian,a3ea1aa4-9d27-f0ff-d78c-d53e7ea281e3_155514_4.png,6174447,2044624,53028,24949,0.9937251300025566,0.98752851693999,0.991484831332121,0.9959755756851151,0.9906018381477364,0.9937251300025566,0.9747203063234512,0.9879448562577885,0.008515168667879037,0.25,1.75
HistoKit (no postprocessing),gaussian,3b6bcf08-7683-ffda-cbbf-264b629cb5e9_151938_7.png,0,4688257,113,0,0.0,0.0,0.0,,0.9999758978067004,,0.9999758978067004,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,9c11305f-9a45-9e5e-ad0d-26ee9868ea85_151624_4.png,4298185,571223,15,85890,0.990105703862179,0.9804052836506549,0.9999965101670467,0.9804086380821496,0.9826640617858045,0.9901057038621791,0.9999737412427044,0.869291887392275,3.4898329533293006e-06,0.25,1.75
HistoKit (no postprocessing),gaussian,dd39d066-a837-16fd-ad92-0770b0888627_135807_1.png,3636584,874101,1317323,1434404,0.7255106412585868,0.5692559426114352,0.7340840270114074,0.7171352012664988,0.6211001248620982,0.7255106412585869,0.3988735178587074,0.3786437542911971,0.26591597298859265,0.25,1.75
HistoKit (no postprocessing),gaussian,3ac230b9-44c8-f340-4d1e-154210441df7_162156_2.png,3600192,307026,3270,1481672,0.8290286398000489,0.7079837030843238,0.9990925393413335,0.7084392655923102,0.7246109165900122,0.8290286398000489,0.9894616753035811,0.17164775719545725,0.0009074606586665823,0.25,1.75
HistoKit (no postprocessing),gaussian,ef3a72f1-b16d-9fbd-0abf-47c8ae24cc17_170601_2.png,12676927,745601,7501,6678983,0.7913104412319246,0.6546846007658464,0.9994086449936883,0.6549383108311622,0.6674881888777032,0.7913104412319245,0.990039861798269,0.10042326950573931,0.000591355006311676,0.25,1.75
HistoKit (no postprocessing),gaussian,523eb3b3-2631-904b-3147-344aab2a0e69_072855_1.png,9035296,5626907,1713607,641174,0.8847129499177322,0.7932603089513793,0.8405784292592463,0.9337388531148239,0.8616217186312216,0.8847129499177322,0.7665549033759761,0.8977080864143268,0.15942157074075372,0.25,1.75
HistoKit (no postprocessing),gaussian,de5f0ae0-f8ac-a1c9-11af-b29f5b85668c_164243_1.png,23507105,4874401,182190,369078,0.9884103340662318,0.9770862310597646,0.9923091843805398,0.9845420015418712,0.9809465901886905,0.9884103340662318,0.9639697970431067,0.9296119999717745,0.007690815619460182,0.25,1.75
HistoKit (no postprocessing),gaussian,6a40a23d-a9fd-108a-edd5-261bdad9c312_144347_2.png,4639825,275744,5922,845754,0.9159363739751342,0.844910162085011,0.9987252857290765,0.8458222915028659,0.8523253303787164,0.9159363739751342,0.9789750981659128,0.24587114734043217,0.001274714270923492,0.25,1.75
HistoKit (no postprocessing),gaussian,695348ba-b4ad-0d7a-344d-f5cf6987dc2a_161433_7.png,2640011,3948791,69644,231229,0.9460887545814785,0.8976930065925756,0.9742978349642297,0.9194671988409189,0.9563298704220445,0.9460887545814783,0.9826688748231588,0.9446823220941527,0.025702165035770237,0.25,1.75
HistoKit (no postprocessing),gaussian,6edc5bc4-e291-c11b-6fc8-450de3279215_144119_1.png,4493054,3455585,30686,108070,0.9847936363763887,0.9700428126369605,0.993216674698369,0.9765122609171151,0.9828429302637005,0.9847936363763888,0.9911980451318902,0.9696743932844228,0.006783325301630952,0.25,1.75
HistoKit (no postprocessing),gaussian,e64bebf4-9607-79c9-1f30-ec705b16f913_135513_1.png,10188874,4608140,124454,75664,0.9902750848897548,0.9807374959957617,0.9879327022276417,0.992628601501597,0.9866562486747467,0.9902750848897547,0.9737027938589281,0.9838456092526502,0.012067297772358253,0.25,1.75
HistoKit (no postprocessing),gaussian,6a40a23d-a9fd-108a-edd5-261bdad9c312_144347_4.png,2634487,244233,4444,704164,0.8814557458182924,0.7880383297513233,0.9983159847680746,0.7890872690796372,0.8024691358024691,0.8814557458182923,0.9821294289379395,0.2575219027474781,0.0016840152319253516,0.25,1.75
HistoKit (no postprocessing),gaussian,f881e0d1-5083-a9bf-24e9-defb3fc05474_163258_2.png,2706820,12460807,7444,66709,0.9864876463088167,0.9733355915357682,0.9972574517438245,0.9759479709784898,0.9951348858204225,0.9864876463088167,0.999402963575244,0.9946750018120113,0.002742548256175523,0.25,1.75
