Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,f809f95e-93da-4287-8a36-e23950f18d38_162835_3.png,4127818,647920,4972,9570,0.9982416339769229,0.9964894408018617,0.998796938629836,0.9976869464502724,0.9969642693120235,0.9982416339769229,0.9923846516728647,0.9854446455459399,0.0012030613701639811,18217,4772063,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,627582,4146252,9353,7093,0.98706678934579,0.9744638431869422,0.9853156130531373,0.9888242013629023,0.9965667977654751,0.9870667893457901,0.9977493048545278,0.9982922198854176,0.01468438694686271,0,4790280,0,0,,,,,1.0,,1.0,1.0,,0,4790280,0,0,,,,,1.0,,1.0,1.0,,0,4790280,0,0,,,,,1.0,,1.0,1.0,,0,4787942,2338,0,0.0,0.0,0.0,,0.9995119283215177,,0.9995119283215177,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,422cfa7e-fd3c-6102-75fb-900aaca16bc3_143008_7.png,0,4243686,249114,0,0.0,0.0,0.0,,0.9445526175213675,,0.9445526175213675,1.0,1.0,0,4492800,0,0,,,,,1.0,,1.0,1.0,,0,4492800,0,0,,,,,1.0,,1.0,1.0,,0,4492800,0,0,,,,,1.0,,1.0,1.0,,0,4492800,0,0,,,,,1.0,,1.0,1.0,,0,4386254,106546,0,0.0,0.0,0.0,,0.9762851673789174,,0.9762851673789174,1.0,1.0,4137140,0,0,355660,0.9587876624866454,0.9208377849002849,1.0,0.9208377849002849,0.9208377849002849,0.9587876624866454,,0.0,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,c428abbd-190a-bb14-c088-c4a63bc0a23d_153345_4.png,4541383,291911,3521,1633825,0.8472640957482533,0.7350027813163517,0.9992252861666605,0.7354218675711004,0.746957642520678,0.8472640957482533,0.9880818597849929,0.1515841216033766,0.0007747138333394941,110098,6360542,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6468949,1691,0,0.0,0.0,0.0,,0.9997386657270378,,0.9997386657270378,1.0,1.0,0,6285306,0,185334,0.0,0.0,,0.0,0.9713577018656578,,1.0,0.9713577018656578,,0,6470640,0,0,,,,,1.0,,1.0,1.0,,0,4656693,1813947,0,0.0,0.0,0.0,,0.719664979043804,,0.719664979043804,1.0,1.0,0,6470640,0,0,,,,,1.0,,1.0,1.0,,0.25,1.75
HistoKit (no postprocessing),gaussian,22383f59-0019-4bd8-48c3-85b3dbec63de_150057_1.png,5818166,285859,3315,920520,0.9264472359324522,0.8629731736913121,0.9994305572757173,0.863397700976125,0.8685467553423091,0.9264472359324522,0.9885363137764805,0.2369562135945669,0.000569442724282704,113777,6914083,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,7027860,0,0,,,,,1.0,,1.0,1.0,,0,6851840,623,175397,0.0,0.0,0.0,0.0,0.9749539689179921,,0.9999090837849106,0.9750404035042507,1.0,0,7027860,0,0,,,,,1.0,,1.0,1.0,,0,5935891,1091969,0,0.0,0.0,0.0,,0.844622829709186,,0.844622829709186,1.0,1.0,0,7027850,10,0,0.0,0.0,0.0,,0.9999985770917463,,0.9999985770917463,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,3387f347-06dd-7f7b-50b8-8d1a72088303_152337_2.png,7076523,315545,21676,1770760,0.887589726042775,0.7978978141628572,0.9969462676377486,0.7998526779351356,0.8048412848423824,0.8875897260427749,0.9357216780686849,0.1512458629011578,0.003053732362251326,122169,9062335,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,9180802,452,3250,0.0,0.0,0.0,0.0,0.9995969297852121,,0.9999507692522176,0.9996461256970235,1.0,103,8972702,0,211699,0.000972133739175574,0.00048630324548398974,1.0,0.00048630324548398974,0.9769504156130805,0.0009721337391755739,1.0,0.976950157119664,0.0,0,9184504,0,0,,,,,1.0,,1.0,1.0,,0,7319440,1865064,0,0.0,0.0,0.0,,0.7969336177544264,,0.7969336177544264,1.0,1.0,0,9085987,98517,0,0.0,0.0,0.0,,0.9892735633845878,,0.9892735633845878,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,f9c9fe62-ad13-adcd-2a95-e3f0edb47dd0_140030_2.png,4484909,3633364,14460,23532,0.9957823266698564,0.9916000814521476,0.9967862160227356,0.9947804573687445,0.9953419855779576,0.9957823266698566,0.9960359929645729,0.9935650343898214,0.0032137839772643675,70665,8085600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,8156265,0,0,,,,,1.0,,1.0,1.0,,0,8155243,0,1022,0.0,0.0,,0.0,0.9998746975484489,,1.0,0.9998746975484489,,0,8156265,0,0,,,,,1.0,,1.0,1.0,,3304884,4830744,10649,9988,0.9968875204455836,0.9937943558317629,0.996788148391224,0.9969869123151663,0.9974697977566938,0.9968875204455836,0.9978004264475121,0.9979366756928497,0.0032118516087760248,248646,7872948,22052,12619,0.9348244144799545,0.8776247101303487,0.9185365240969642,0.9517003808393777,0.9957491572429292,0.9348244144799545,0.9972068397720076,0.9983997346037387,0.08146347590303586,0.25,1.75
HistoKit (no postprocessing),gaussian,471ad0ae-4155-cece-bd54-ae74bd634547_150346_3.png,0,8571243,1340932,175,0.0,0.0,0.0,0.0,0.8647034255247242,,0.8647186919117147,0.9999795833081527,1.0,545632,9366718,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,9907514,4836,0,0.0,0.0,0.0,,0.9995121237647985,,0.9995121237647985,1.0,1.0,0,9912284,66,0,0.0,0.0,0.0,,0.99999334163947,,0.99999334163947,1.0,1.0,0,9912350,0,0,,,,,1.0,,1.0,1.0,,7549781,1190028,2267,1170274,0.9279416434372373,0.8655700855804223,0.9996998165265899,0.865795112530827,0.8817090800869622,0.9279416434372374,0.9980986249208459,0.5041846340002254,0.0003001834734101266,461946,9258972,6890,184542,0.8283619827063705,0.7070118675559937,0.9853040295540445,0.71454690574303,0.9806875261668525,0.8283619827063705,0.9992564102508757,0.9804583336245385,0.014695970445955515,0.25,1.75
HistoKit (no postprocessing),gaussian,d453b2d1-a9e4-4e23-336a-b459202a3483_134957_2.png,3918545,5779772,297309,29774,0.9599367872287861,0.9229600426603556,0.9294783453127172,0.9924590692899941,0.9673745685957668,0.9599367872287861,0.9510770055557923,0.9948749867889849,0.07052165468728282,56576,9968824,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,10025400,0,0,,,,,1.0,,1.0,1.0,,0,10025400,0,0,,,,,1.0,,1.0,1.0,,0,10025400,0,0,,,,,1.0,,1.0,1.0,,5102726,4802597,24713,95364,0.9883708621611542,0.9770090887977203,0.9951802449526947,0.9816540306150913,0.9880227222853951,0.9883708621611541,0.9948805856677942,0.9805298572201779,0.004819755047305292,616154,9193608,9377,206261,0.8510731753808498,0.7407549002635274,0.9850095358983008,0.7492008292650304,0.97849083328346,0.8510731753808498,0.9989810914610857,0.9780570346246314,0.014990464101699196,0.25,1.75
HistoKit (no postprocessing),gaussian,ebe8788e-b613-8ad7-a427-cb1985a3fb1a_141552_1.png,2281104,1517624,17330,35360,0.9885826295619101,0.977423028767749,0.9924600836917657,0.9847353552656117,0.9863193244669886,0.98858262956191,0.9887097593804114,0.9772309309046326,0.007539916308234215,24498,3826920,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1486337,2313690,27272,24119,0.9830059869744864,0.9665799153036168,0.9819821367341235,0.9840319744500998,0.9866566028408238,0.9830059869744863,0.9883500885533383,0.9896830750501859,0.01801786326587646,0,3851418,0,0,,,,,1.0,,1.0,1.0,,0,3850661,757,0,0.0,0.0,0.0,,0.9998034490154016,,0.9998034490154016,1.0,1.0,0,3840610,10808,0,0.0,0.0,0.0,,0.9971937608434088,,0.9971937608434088,1.0,1.0,0,3848106,3312,0,0.0,0.0,0.0,,0.9991400569868033,,0.9991400569868033,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,58dff1be-4537-9c42-d313-957df44346bb_144618_1.png,6313053,2092454,82756,500021,0.9558799180823996,0.9154884908705696,0.9870609019124867,0.926608605748301,0.9351625961084452,0.9558799180823996,0.9619549376841776,0.8071260089296908,0.012939098087513244,72855,8915429,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,29962,8566505,386473,5344,0.13265123156853154,0.0710372019469912,0.07194880353476533,0.8486376253328046,0.9564080307208807,0.13265123156853154,0.9568330224870428,0.9993765639128734,0.9280511964652347,0,8988284,0,0,,,,,1.0,,1.0,1.0,,0,8918628,69656,0,0.0,0.0,0.0,,0.9922503561302691,,0.9922503561302691,1.0,1.0,1183111,7680262,23683,101228,0.9498577554871619,0.9045038997815021,0.9803752753162511,0.9211828029827016,0.9861029090758592,0.9498577554871618,0.9969258607116224,0.986991180352349,0.019624724683748842,705362,8084201,121373,77348,0.8765282442084072,0.7801960660691551,0.8531899580881419,0.9011792362433085,0.9778911080246241,0.8765282442084072,0.9852084692673542,0.9905228774586785,0.1468100419118581,0.25,1.75
