Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,4adc5212-3bb5-0299-1727-5490f70e71c6_162331_3.png,4427802,235913,6385,1042956,0.8940588766520158,0.8084145329052026,0.9985600517073366,0.809358045082601,0.8163257983117967,0.8940588766520157,0.9736481522752973,0.18447002781363847,0.001439948292663345,0.25,1.75
HistoKit (no postprocessing),gaussian,1d49a2ac-7490-df96-fb85-41e83b5a5b35_151838_3.png,0,6147043,42392,0,0.0,0.0,0.0,,0.9931509095741372,,0.9931509095741372,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,dfdc8007-a219-a302-d10c-929e29813dc8_163630_7.png,2206869,426291,35989,179411,0.9534686587438094,0.911075111806327,0.9839539551768324,0.9248156125852792,0.9243828460695931,0.9534686587438094,0.9221489140780479,0.7037965864401967,0.016046044823167585,0.25,1.75
HistoKit (no postprocessing),gaussian,538ad0bc-9add-9e27-6ee9-4f1bdd825510_142716_4.png,0,6987044,2932,0,0.0,0.0,0.0,,0.9995805421935641,,0.9995805421935641,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,4adc5212-3bb5-0299-1727-5490f70e71c6_162331_1.png,6113955,580988,49328,2934347,0.8038550880792501,0.6720382121497577,0.9919964733081379,0.6757019162269341,0.6917250995958307,0.8038550880792501,0.9217408411019234,0.16527244202899583,0.008003526691862113,0.25,1.75
HistoKit (no postprocessing),gaussian,110ff982-b33a-42d4-9522-02719d6987c7_164031_4.png,11651805,434977,14900,3201971,0.8787023885426513,0.7836477841066682,0.9987228613391699,0.7844338705525113,0.7897971811044069,0.8787023885426513,0.9668798360440742,0.11959945536752244,0.0012771386608301145,0.25,1.75
HistoKit (no postprocessing),gaussian,91e6ffad-da04-5736-d731-feb79e91105c_134712_2.png,6739967,189395,2083,965799,0.9330084214804507,0.8744290398008575,0.9996910435253372,0.8746654128869213,0.8774405349511805,0.9330084214804507,0.9891214656514065,0.16395081691906294,0.00030895647466275093,0.25,1.75
HistoKit (no postprocessing),gaussian,8a22c195-cd7e-901b-eb5d-b1439c8b19ac_152323_3.png,3875994,453136,91633,3046,0.9879338577768115,0.9761554275559836,0.9769048350563195,0.9992147541659792,0.9785978553775717,0.9879338577768114,0.8317947607150921,0.9933228404452609,0.02309516494368044,0.25,1.75
HistoKit (no postprocessing),gaussian,654bcee2-3394-aaf6-25f2-380d7ca46c60_144121_7.png,5291004,321883,19,468932,0.9575646783233925,0.9185842597728628,0.999996409012019,0.9185872898587762,0.9228932109010467,0.9575646783233925,0.9999409758249405,0.40702692791613715,3.5909879809632277e-06,0.25,1.75
HistoKit (no postprocessing),gaussian,1cfd19dd-0b58-a07f-0753-c0e3d9e98b9b_133722_4.png,19339957,749321,3202,5037008,0.8847164751865754,0.7932659772182856,0.9998344634400204,0.7933701754914937,0.7994304539750273,0.8847164751865754,0.9957449805520895,0.12949851278764135,0.00016553655997968066,0.25,1.75
