Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,4adc5212-3bb5-0299-1727-5490f70e71c6_162331_3.png,4427802,235913,6385,1042956,0.8940588766520158,0.8084145329052026,0.9985600517073366,0.809358045082601,0.8163257983117967,0.8940588766520157,0.9736481522752973,0.18447002781363847,0.001439948292663345,101763,5611293,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,5711739,1317,0,0.0,0.0,0.0,,0.9997694753911042,,0.9997694753911042,1.0,1.0,0,5572521,0,140535,0.0,0.0,,0.0,0.9754010813126985,,1.0,0.9754010813126985,,0,5713056,0,0,,,,,1.0,,1.0,1.0,,0,4541744,1171312,0,0.0,0.0,0.0,,0.7949762788952183,,0.7949762788952183,1.0,1.0,0,5708579,4477,0,0.0,0.0,0.0,,0.9992163563598887,,0.9992163563598887,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,1d49a2ac-7490-df96-fb85-41e83b5a5b35_151838_3.png,0,6147043,42392,0,0.0,0.0,0.0,,0.9931509095741372,,0.9931509095741372,1.0,1.0,726968,5462467,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6189435,0,0,,,,,1.0,,1.0,1.0,,0,5370266,819169,0,0.0,0.0,0.0,,0.8676504398220516,,0.8676504398220516,1.0,1.0,0,5686862,502573,0,0.0,0.0,0.0,,0.9188014738017283,,0.9188014738017283,1.0,1.0,0,6188449,986,0,0.0,0.0,0.0,,0.9998406962832633,,0.9998406962832633,1.0,1.0,4097347,726968,0,1365120,0.8572022426377752,0.7500909387644813,1.0,0.7500909387644813,0.7794435194811804,0.8572022426377751,1.0,0.34748442704130994,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,dfdc8007-a219-a302-d10c-929e29813dc8_163630_7.png,2206869,426291,35989,179411,0.9534686587438094,0.911075111806327,0.9839539551768324,0.9248156125852792,0.9243828460695931,0.9534686587438094,0.9221489140780479,0.7037965864401967,0.016046044823167585,27357,2821203,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,2848560,0,0,,,,,1.0,,1.0,1.0,,0,2848560,0,0,,,,,1.0,,1.0,1.0,,0,2848560,0,0,,,,,1.0,,1.0,1.0,,391335,2270061,187010,154,0.807014396278126,0.6764661650236214,0.6766462924379048,0.999606630071343,0.9342952228494397,0.807014396278126,0.923889053267081,0.9999321650152078,0.3233537075620953,0,2805126,0,43434,0.0,0.0,,0.0,0.9847522958968742,,1.0,0.9847522958968742,,0.25,1.75
HistoKit (no postprocessing),gaussian,538ad0bc-9add-9e27-6ee9-4f1bdd825510_142716_4.png,0,6987044,2932,0,0.0,0.0,0.0,,0.9995805421935641,,0.9995805421935641,1.0,1.0,1616566,5373410,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6989976,0,0,,,,,1.0,,1.0,1.0,,0,6989976,0,0,,,,,1.0,,1.0,1.0,,0,6989976,0,0,,,,,1.0,,1.0,1.0,,5370478,1616566,0,2932,0.9997271006548095,0.9994543502170875,1.0,0.9994543502170875,0.9995805421935641,0.9997271006548096,1.0,0.9981895624446587,0.0,0,6989976,0,0,,,,,1.0,,1.0,1.0,,0.25,1.75
HistoKit (no postprocessing),gaussian,4adc5212-3bb5-0299-1727-5490f70e71c6_162331_1.png,6113955,580988,49328,2934347,0.8038550880792501,0.6720382121497577,0.9919964733081379,0.6757019162269341,0.6917250995958307,0.8038550880792501,0.9217408411019234,0.16527244202899583,0.008003526691862113,175238,9503380,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,9676037,2581,0,0.0,0.0,0.0,,0.9997333296964505,,0.9997333296964505,1.0,1.0,0,9223540,0,455078,0.0,0.0,,0.0,0.9529810970946472,,1.0,0.9529810970946472,,0,9678618,0,0,,,,,1.0,,1.0,1.0,,0,6355337,3323281,0,0.0,0.0,0.0,,0.6566368256294443,,0.6566368256294443,1.0,1.0,0,9664383,14235,0,0.0,0.0,0.0,,0.9985292321693036,,0.9985292321693036,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,110ff982-b33a-42d4-9522-02719d6987c7_164031_4.png,11651805,434977,14900,3201971,0.8787023885426513,0.7836477841066682,0.9987228613391699,0.7844338705525113,0.7897971811044069,0.8787023885426513,0.9668798360440742,0.11959945536752244,0.0012771386608301145,160755,15142898,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,15292814,4563,6276,0.0,0.0,0.0,0.0,0.9992917377308542,,0.9997017135682804,0.9995897795228343,1.0,19237,15017681,3126,263609,0.12605788164831314,0.0672688235211839,0.8602155345883826,0.06801227523104446,0.9825705013044924,0.12605788164831314,0.9997918886781516,0.9827495584469635,0.1397844654116174,0,15284765,18888,0,0.0,0.0,0.0,,0.998765784875023,,0.998765784875023,1.0,1.0,0,11875012,3428641,0,0.0,0.0,0.0,,0.7759593085389482,,0.7759593085389482,1.0,1.0,0,15301915,1738,0,0.0,0.0,0.0,,0.9998864323439639,,0.9998864323439639,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,91e6ffad-da04-5736-d731-feb79e91105c_134712_2.png,6739967,189395,2083,965799,0.9330084214804507,0.8744290398008575,0.9996910435253372,0.8746654128869213,0.8774405349511805,0.9330084214804507,0.9891214656514065,0.16395081691906294,0.00030895647466275093,68784,7828460,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,7897067,177,0,0.0,0.0,0.0,,0.9999775871177338,,0.9999775871177338,1.0,1.0,0,7774550,0,122694,0.0,0.0,,0.0,0.9844636939165107,,1.0,0.9844636939165107,,0,7897244,0,0,,,,,1.0,,1.0,1.0,,0,6835477,1061767,0,0.0,0.0,0.0,,0.8655522103660467,,0.8655522103660467,1.0,1.0,0,7872778,24466,0,0.0,0.0,0.0,,0.9969019571891156,,0.9969019571891156,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,8a22c195-cd7e-901b-eb5d-b1439c8b19ac_152323_3.png,3875994,453136,91633,3046,0.9879338577768115,0.9761554275559836,0.9769048350563195,0.9992147541659792,0.9785978553775717,0.9879338577768114,0.8317947607150921,0.9933228404452609,0.02309516494368044,29771,4394038,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,28187,3908552,259,486811,0.10373469943545241,0.05470473957656082,0.9908950291780918,0.05473225138738403,0.8898980493958939,0.10373469943545242,0.9999337394414823,0.8892444150801652,0.009104970821908177,0,4414145,9664,0,0.0,0.0,0.0,,0.9978154572224976,,0.9978154572224976,1.0,1.0,0,4423809,0,0,,,,,1.0,,1.0,1.0,,0,4423809,0,0,,,,,1.0,,1.0,1.0,,0,4035508,388301,0,0.0,0.0,0.0,,0.912224736646632,,0.912224736646632,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,654bcee2-3394-aaf6-25f2-380d7ca46c60_144121_7.png,5291004,321883,19,468932,0.9575646783233925,0.9185842597728628,0.999996409012019,0.9185872898587762,0.9228932109010467,0.9575646783233925,0.9999409758249405,0.40702692791613715,3.5909879809632277e-06,176026,5905812,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6081838,0,0,,,,,1.0,,1.0,1.0,,0,5935962,0,145876,0.0,0.0,,0.0,0.9760144877255856,,1.0,0.9760144877255856,,0,6081838,0,0,,,,,1.0,,1.0,1.0,,0,5468055,613783,0,0.0,0.0,0.0,,0.8990793572600915,,0.8990793572600915,1.0,1.0,0,6080832,1006,0,0.0,0.0,0.0,,0.9998345894777204,,0.9998345894777204,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,1cfd19dd-0b58-a07f-0753-c0e3d9e98b9b_133722_4.png,19339957,749321,3202,5037008,0.8847164751865754,0.7932659772182856,0.9998344634400204,0.7933701754914937,0.7994304539750273,0.8847164751865754,0.9957449805520895,0.12949851278764135,0.00016553655997968066,203699,24925789,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,25128265,1223,0,0.0,0.0,0.0,,0.9999513320764832,,0.9999513320764832,1.0,1.0,23,24580654,10,548801,8.381053717088422e-05,4.1907024710568224e-05,0.696969696969697,4.190778828914187e-05,0.9781606772091815,8.381053717088422e-05,0.9999995931761648,0.9781610464691733,0.30303030303030304,0,25129488,0,0,,,,,1.0,,1.0,1.0,,0,19559068,5570420,0,0.0,0.0,0.0,,0.7783313372719731,,0.7783313372719731,1.0,1.0,0,25118534,10954,0,0.0,0.0,0.0,,0.9995640977643476,,0.9995640977643476,1.0,1.0,0.25,1.75
