Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,2125a939-8f92-6ca7-9a29-e1755d6267ed_103351_7.png,1081660,327891,17477,1285422,0.6241152102622483,0.45361008052222657,0.9840993433939537,0.4569592434905086,0.5196597172298106,0.6241152102622484,0.9493960065784902,0.20324078464625278,0.01590065660604638,0.25,1.75
HistoKit (no postprocessing),gaussian,228e0715-eef2-126e-c558-f7684e2bcfa8_110725_2.png,2873101,183134,63175,621096,0.8935893207233745,0.8076470495635543,0.9784846519877559,0.8222492893216954,0.8170645896571213,0.8935893207233745,0.7435132293176457,0.22771346505352946,0.02151534801224408,0.25,1.75
HistoKit (no postprocessing),gaussian,39bcf904-a619-148a-5bca-38122a540be1_104536_1.png,1685489,912291,1405,320131,0.9129221988054751,0.8397947210423388,0.999167108306746,0.8403830237033935,0.8898591313855712,0.9129221988054751,0.9984622894266802,0.7402423845079039,0.0008328916932539923,0.25,1.75
HistoKit (no postprocessing),gaussian,9e7010fd-072a-6a7f-3911-83d91e8c9301_113642_3.png,3295130,270468,4183,474545,0.932277717828917,0.8731462604051344,0.9987321603012506,0.8741151425520768,0.8816297202549943,0.9322777178289169,0.9847697623529498,0.36303796041142905,0.0012678396987494064,0.25,1.75
HistoKit (no postprocessing),gaussian,c74350c8-f970-c60d-af8a-f9c4d9c5bab2_124242_3.png,307509,1906577,1520759,19159,0.28539965920101573,0.1664525851359756,0.16819689454718892,0.941350239386778,0.5897931914830139,0.2853996592010157,0.5562854065081451,0.9900510765753977,0.8318031054528111,0.25,1.75
HistoKit (no postprocessing),gaussian,0502ebf6-5b9d-c3a6-85fe-a3909acf1f7b_112628_8.png,4011112,94866,550,52437,0.9934383138719224,0.9869621778406481,0.9998628997158784,0.9870957628417918,0.987259570590279,0.9934383138719224,0.9942357675861491,0.6440194700718926,0.00013710028412164334,0.25,1.75
HistoKit (no postprocessing),gaussian,be2180cd-04c9-2627-2456-4397fd5e59ee_103647_4.png,4398629,437252,27349,448894,0.9486447459271315,0.9023065631261703,0.9938208007360181,0.9073972418490845,0.9103479135652707,0.9486447459271314,0.941134435784684,0.4934311050323536,0.006179199263981881,0.25,1.75
HistoKit (no postprocessing),gaussian,3e1fffa8-5bae-87b0-bc39-e4a1bc285608_122517_10.png,3663072,1690719,317131,1566958,0.7954352512037426,0.6603507632102259,0.9203229081531771,0.7003921583623803,0.7396904894803451,0.7954352512037426,0.8420544363373758,0.518995284062846,0.0796770918468229,0.25,1.75
HistoKit (no postprocessing),gaussian,04e13be9-17d6-1bd0-76ee-d5d53a64912e_105258_2.png,3282466,114048,8324,887514,0.8799268708189637,0.7855976970560304,0.9974705161982381,0.7871658856877012,0.7912943766028508,0.8799268708189638,0.9319779034419639,0.1138701348493653,0.002529483801761887,0.25,1.75
HistoKit (no postprocessing),gaussian,332605c9-e7e2-297a-c808-98d567218fe3_115336_2.png,5443775,468840,13028,184213,0.9822061597733327,0.9650344902407652,0.9976125214709052,0.9672684092432322,0.9677175697757853,0.9822061597733327,0.9729635501838678,0.7179202913086686,0.0023874785290947833,0.25,1.75
