Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,2125a939-8f92-6ca7-9a29-e1755d6267ed_103351_7.png,1081660,327891,17477,1285422,0.6241152102622483,0.45361008052222657,0.9840993433939537,0.4569592434905086,0.5196597172298106,0.6241152102622484,0.9493960065784902,0.20324078464625278,0.01590065660604638,105555,2606895,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,2710173,0,2277,0.0,0.0,,0.0,0.999160537521429,,1.0,0.999160537521429,,253,2496089,0,216108,0.002335952431514122,0.0011693419793770597,1.0,0.0011693419793770597,0.920327379306531,0.0023359524315141223,1.0,0.9203199472604682,0.0,0,2712450,0,0,,,,,1.0,,1.0,1.0,,0,1212616,1499834,0,0.0,0.0,0.0,,0.44705561392836735,,0.44705561392836735,1.0,1.0,3029,2686633,4642,18146,0.21001178672952922,0.1173257930820777,0.39486377265024114,0.14304604486422667,0.9915987391472654,0.2100117867295292,0.998275166974761,0.993291133952164,0.6051362273497588,0.25,1.75
HistoKit (no postprocessing),gaussian,228e0715-eef2-126e-c558-f7684e2bcfa8_110725_2.png,2873101,183134,63175,621096,0.8935893207233745,0.8076470495635543,0.9784846519877559,0.8222492893216954,0.8170645896571213,0.8935893207233745,0.7435132293176457,0.22771346505352946,0.02151534801224408,74493,3666013,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,3728808,11698,0,0.0,0.0,0.0,,0.9968726156300779,,0.9968726156300779,1.0,1.0,7791,3553235,15455,164025,0.07988229383478074,0.041602810899712184,0.33515443517164245,0.04534502025422545,0.9520171869795157,0.07988229383478075,0.9956692792032931,0.9558747572136466,0.6648455648283575,0,3739332,1174,0,0.0,0.0,0.0,,0.9996861387202693,,0.9996861387202693,1.0,1.0,0,3149964,590542,0,0.0,0.0,0.0,,0.8421224294253238,,0.8421224294253238,1.0,1.0,0,3637429,103077,0,0.0,0.0,0.0,,0.9724430331083549,,0.9724430331083549,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,39bcf904-a619-148a-5bca-38122a540be1_104536_1.png,1685489,912291,1405,320131,0.9129221988054751,0.8397947210423388,0.999167108306746,0.8403830237033935,0.8898591313855712,0.9129221988054751,0.9984622894266802,0.7402423845079039,0.0008328916932539923,155124,2764192,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,2919139,177,0,0.0,0.0,0.0,,0.9999393693591239,,0.9999393693591239,1.0,1.0,0,2861109,0,58207,0.0,0.0,,0.0,0.9800614253475814,,1.0,0.9800614253475814,,0,2919316,0,0,,,,,1.0,,1.0,1.0,,253240,1887313,331638,447125,0.39407333866047123,0.24538688356526095,0.43297918540276775,0.36158288892220486,0.7332378543467031,0.39407333866047123,0.8505428916636735,0.8084656778205289,0.5670208145972322,0,2427073,492243,0,0.0,0.0,0.0,,0.8313841324474637,,0.8313841324474637,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,9e7010fd-072a-6a7f-3911-83d91e8c9301_113642_3.png,3295130,270468,4183,474545,0.932277717828917,0.8731462604051344,0.9987321603012506,0.8741151425520768,0.8816297202549943,0.9322777178289169,0.9847697623529498,0.36303796041142905,0.0012678396987494064,110055,3934271,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4042278,0,2048,0.0,0.0,,0.0,0.9994936115436788,,1.0,0.9994936115436788,,0,3932003,0,112323,0.0,0.0,,0.0,0.9722270163186647,,1.0,0.9722270163186647,,0,4044326,0,0,,,,,1.0,,1.0,1.0,,50225,3425062,569039,0,0.15003980647927,0.08110434322033898,0.08110434322033898,1.0,0.859299423439159,0.15003980647927,0.8575301425777666,1.0,0.918895656779661,0,4028632,15694,0,0.0,0.0,0.0,,0.9961195017414521,,0.9961195017414521,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,c74350c8-f970-c60d-af8a-f9c4d9c5bab2_124242_3.png,307509,1906577,1520759,19159,0.28539965920101573,0.1664525851359756,0.16819689454718892,0.941350239386778,0.5897931914830139,0.2853996592010157,0.5562854065081451,0.9900510765753977,0.8318031054528111,33688,3720316,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,3754004,0,0,,,,,1.0,,1.0,1.0,,0,3754004,0,0,,,,,1.0,,1.0,1.0,,0,3734263,19741,0,0.0,0.0,0.0,,0.9947413481711793,,0.9947413481711793,1.0,1.0,1849015,341197,19159,1544633,0.7028040857330408,0.5417871564375014,0.9897445312909825,0.5448458414072408,0.5834335818502058,0.7028040857330408,0.9468331316808933,0.1809267007100322,0.010255468709017468,0,3749871,4133,0,0.0,0.0,0.0,,0.9988990421960126,,0.9988990421960126,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,0502ebf6-5b9d-c3a6-85fe-a3909acf1f7b_112628_8.png,4011112,94866,550,52437,0.9934383138719224,0.9869621778406481,0.9998628997158784,0.9870957628417918,0.987259570590279,0.9934383138719224,0.9942357675861491,0.6440194700718926,0.00013710028412164334,44051,4114914,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4158965,0,0,,,,,1.0,,1.0,1.0,,0,4107104,496,51365,0.0,0.0,0.0,0.0,0.9875303110269021,,0.9998792482228065,0.9876480983746663,1.0,0,4158965,0,0,,,,,1.0,,1.0,1.0,,0,4056209,102756,0,0.0,0.0,0.0,,0.9752928913804276,,0.9752928913804276,1.0,1.0,0,4158965,0,0,,,,,1.0,,1.0,1.0,,0.25,1.75
HistoKit (no postprocessing),gaussian,be2180cd-04c9-2627-2456-4397fd5e59ee_103647_4.png,4398629,437252,27349,448894,0.9486447459271315,0.9023065631261703,0.9938208007360181,0.9073972418490845,0.9103479135652707,0.9486447459271314,0.941134435784684,0.4934311050323536,0.006179199263981881,9981,5302143,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,398544,4513152,378333,22095,0.6656178289058351,0.4988209849656809,0.5130078506636185,0.9474727735659318,0.9246199825154684,0.6656178289058351,0.922654776616917,0.9951281595026688,0.4869921493363814,2199,5283788,1115,25022,0.1440314393319142,0.07760446075663467,0.6635485817742909,0.08078321883839683,0.995079745879426,0.1440314393319142,0.9997890216717317,0.9952867026697132,0.3364514182257091,0,5312124,0,0,,,,,1.0,,1.0,1.0,,0,5312124,0,0,,,,,1.0,,1.0,1.0,,613,5210003,95361,6147,0.0119337317733175,0.0060026830916265995,0.006387146518848855,0.09068047337278107,0.9808912593154828,0.0119337317733175,0.9820255499905379,0.9988215446258255,0.9936128534811511,0.25,1.75
HistoKit (no postprocessing),gaussian,3e1fffa8-5bae-87b0-bc39-e4a1bc285608_122517_10.png,3663072,1690719,317131,1566958,0.7954352512037426,0.6603507632102259,0.9203229081531771,0.7003921583623803,0.7396904894803451,0.7954352512037426,0.8420544363373758,0.518995284062846,0.0796770918468229,853856,6384024,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,7237880,0,0,,,,,1.0,,1.0,1.0,,0,6929671,0,308209,0.0,0.0,,0.0,0.9574172271438598,,1.0,0.9574172271438598,,0,7237880,0,0,,,,,1.0,,1.0,1.0,,0,5145603,2092277,0,0.0,0.0,0.0,,0.7109268183501246,,0.7109268183501246,1.0,1.0,299249,6379800,12295,546536,0.5171373049495865,0.3487425414879731,0.9605352694964435,0.3538121390187814,0.9227907895682161,0.5171373049495865,0.9980765304645817,0.9210930569929036,0.03946473050355648,0.25,1.75
HistoKit (no postprocessing),gaussian,04e13be9-17d6-1bd0-76ee-d5d53a64912e_105258_2.png,3282466,114048,8324,887514,0.8799268708189637,0.7855976970560304,0.9974705161982381,0.7871658856877012,0.7912943766028508,0.8799268708189638,0.9319779034419639,0.1138701348493653,0.002529483801761887,24289,4268063,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4292352,0,0,,,,,1.0,,1.0,1.0,,0,4194269,0,98083,0.0,0.0,,0.0,0.9771493577413968,,1.0,0.9771493577413968,,0,4292352,0,0,,,,,1.0,,1.0,1.0,,0,3330511,961841,0,0.0,0.0,0.0,,0.7759174923212262,,0.7759174923212262,1.0,1.0,0,4276920,15432,0,0.0,0.0,0.0,,0.9964047682948649,,0.9964047682948649,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,332605c9-e7e2-297a-c808-98d567218fe3_115336_2.png,5443775,468840,13028,184213,0.9822061597733327,0.9650344902407652,0.9976125214709052,0.9672684092432322,0.9677175697757853,0.9822061597733327,0.9729635501838678,0.7179202913086686,0.0023874785290947833,94815,6015041,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,352147,5604258,140905,12546,0.8210995109269071,0.6964960304431584,0.7142187842255989,0.965598462268264,0.9748846781331671,0.8210995109269071,0.9754741510380123,0.9977663454163613,0.2857812157744011,13124,6045928,45594,5210,0.3406530654622852,0.20529345513702915,0.2235089751013318,0.7158285153267154,0.9916849104136006,0.34065306546228524,0.9925151710853215,0.9991390049276682,0.7764910248986682,0,6109856,0,0,,,,,1.0,,1.0,1.0,,0,6109856,0,0,,,,,1.0,,1.0,1.0,,0,6099362,6468,4026,0.0,0.0,0.0,0.0,0.9982824472458925,,0.9989406845588561,0.999340366367008,1.0,0.25,1.75
