Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,8814872,212647178,79173,24665993,0.41604203997129435,0.26265977410395064,0.9910982010997246,0.26328089193633436,0.8994945542132282,0.4160420399712943,0.999627817618138,0.8960614242519224,0.008901798900275409,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,149910844,171244350,3230421,24265905,0.9159950726085,0.845010063572966,0.9789056137155456,0.8606822946270515,0.9211352183406515,0.9159950726085,0.9814848818457541,0.8758842343078116,0.02109438628445442,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,7843045,33192379,6540,11322736,0.5806358499825618,0.4090816651776277,0.9991668349345857,0.40922125740662485,0.7836466932876537,0.5806358499825617,0.9998030056340087,0.74564289006105,0.0008331650654142863,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,52494092,325070998,39613,45396497,0.6979469951841688,0.5360357778083619,0.9992459507662748,0.5362526933002723,0.8925863330884167,0.6979469951841688,0.9998781553149614,0.877461592143192,0.0007540492337252817,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.png,192431491,816534985,116340,31818752,0.9233799434495468,0.857665559759405,0.999395786494214,0.8581105127275157,0.9693197772183585,0.9233799434495467,0.9998575401809334,0.9624935323412149,0.0006042135057859987,0.25,1.75
HistoKit (no postprocessing),gaussian,normal_004.png,10667421,1294874289,75615,9624659,0.6874419931280424,0.5237421809389821,0.992961486864607,0.525693817489385,0.9926247229650479,0.6874419931280423,0.9999416077797555,0.9926219495885711,0.007038513135393012,0.25,1.75
HistoKit (no postprocessing),gaussian,tumor_031.png,31528424,1305353349,89456,14905379,0.807885820988639,0.6776916466664555,0.9971707147980826,0.6789972382834979,0.9889081333967427,0.807885820988639,0.9999314745926383,0.9887102590697662,0.002829285201917396,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,257085342,301654817,1548504,75410537,0.8698102332783214,0.7696143239744283,0.9940127557782983,0.7731985815078327,0.8789379615390424,0.8698102332783214,0.9948928527732056,0.8000067197900128,0.005987244221701749,0.25,1.75
HistoKit (no postprocessing),gaussian,tumor_021.png,151671590,1108525232,189588,88360854,0.7740446972622586,0.6313808468658695,0.9987515703322148,0.6318795387510199,0.9343461563455672,0.7740446972622587,0.999829002015144,0.9261743828142388,0.00124842966778514,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,70189194,267356816,105418,16726100,0.892936021474372,0.8065803230844629,0.9985003402536741,0.8075586098805579,0.9525039917316653,0.892936021474372,0.999605858373261,0.9411224714406973,0.0014996597463259346,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6333-11A-01-TS1.924c9301-78b6-4330-be95-533b25cf1a91.png,6574485,71206454,255830,8748695,0.5935393038434793,0.4220091648955871,0.9625449192313971,0.4290548698116187,0.8962438571510086,0.5935393038434793,0.996420069641211,0.8905799675265441,0.03745508076860291,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,8825515,212644288,82063,24655350,0.41641137892231617,0.2629542631083915,0.990787282468927,0.26359877500178086,0.8995260439482814,0.4164113789223161,0.9996142320891876,0.8961003471905844,0.009212717531072981,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-FA-A82F-01Z-00-DX1.6D1B9A0A-FAA1-4E4D-9280-3D87F9929972.png,190812755,532101487,918467,23158327,0.9406540368082307,0.8879573524536551,0.9952096117136311,0.8917688933311091,0.9677682959504751,0.9406540368082306,0.9982768618827355,0.9582928092109327,0.0047903882863689256,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16.png,132596509,214025785,851677,190445517,0.5809391111325735,0.4093827937124174,0.9936179199918087,0.4104621019185906,0.644375788073326,0.5809391111325735,0.9960364526271257,0.529149494517166,0.006382080008191344,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,150588706,171335481,3139290,23588043,0.9184905573720807,0.8492672566411209,0.9795789310881279,0.864574099956361,0.9233408390131211,0.9184905573720807,0.9820071980492813,0.878988217963882,0.02042106891187211,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,7892819,33192340,6579,11272962,0.583245283543109,0.4116769662159484,0.9991671517247264,0.41181828175955887,0.7845964743424483,0.583245283543109,0.9998018308969638,0.7464773319205164,0.0008328482752736348,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,52598844,325070130,40481,45291745,0.6988490540159347,0.5371006770374305,0.9992309741813749,0.5373227859523861,0.8928319210441956,0.6988490540159348,0.9998754854543951,0.8777094834612769,0.0007690258186251438,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.png,192473177,816537311,114014,31777066,0.9234927638480761,0.8578602473209447,0.9994079876267575,0.8582964032730167,0.9693620597946875,0.923492763848076,0.9998603883977045,0.9625409319215157,0.0005920123732424136,0.5,1.75
HistoKit (no postprocessing),gaussian,normal_004.png,10666925,1294874167,75737,9625155,0.6874183133212449,0.5237146916628326,0.9929498852332876,0.5256693744554526,0.9926242530895364,0.687418313321245,0.9999415135676167,0.9926215714813533,0.007050114766712385,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,257986746,301678617,1524704,74509133,0.8715660545479497,0.7723678094412523,0.9941247139577079,0.7759096045818962,0.8803933731551022,0.8715660545479497,0.9949713479556512,0.8019363123865676,0.005875286042292161,0.5,1.75
HistoKit (no postprocessing),gaussian,tumor_031.png,31536749,1305352924,89881,14897054,0.808008559214628,0.6778643969811161,0.997158059521359,0.6791765257736913,0.9889139771253442,0.8080085592146279,0.9999311490326074,0.9887164898706781,0.0028419404786409427,0.5,1.75
HistoKit (no postprocessing),gaussian,tumor_021.png,151833102,1108510303,204517,88199342,0.7745202520091415,0.6320139139622233,0.998654826342683,0.6325524144561058,0.9344548371962443,0.7745202520091414,0.9998155368753887,0.9262984614785151,0.001345173657317009,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,70490463,267352015,110219,16424831,0.8950262035642658,0.8099976727514379,0.9984388394435056,0.811024846789335,0.9533405797672363,0.8950262035642659,0.9995879081754773,0.9421206090929631,0.0015611605564943409,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6333-11A-01-TS1.924c9301-78b6-4330-be95-533b25cf1a91.png,6642121,71200995,261289,8681059,0.5976734172898317,0.42620130336169937,0.9621507342023724,0.43346883610321096,0.8969603020155541,0.5976734172898317,0.996343679695432,0.8913265425047784,0.03784926579762755,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-FA-A82F-01Z-00-DX1.6D1B9A0A-FAA1-4E4D-9280-3D87F9929972.png,191263426,532091444,928510,22707656,0.9418062084618447,0.8900129787124026,0.9951688399663137,0.8938751171992485,0.9683581664827368,0.9418062084618448,0.9982580201866139,0.9590704887589039,0.004831160033686325,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,8836398,212647990,78361,24644467,0.41685424891965267,0.2633075625760856,0.9912099698937459,0.2639238263408069,0.8995852826669386,0.41685424891965267,0.9996316347286942,0.8961430661911011,0.008790030106254135,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16.png,132768875,214065378,812084,190273151,0.5815251503381942,0.40996507655870107,0.9939206605037174,0.41099567336170684,0.6447698228772853,0.5815251503381942,0.9962207111325617,0.5294211722276905,0.00607933949628255,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,150919593,171602408,2872363,23257156,0.9203292308026767,0.852416548691868,0.9813230608758237,0.8664738196485686,0.9250554852019576,0.9203292308026767,0.983537086860541,0.8806465768341758,0.0186769391241763,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,7895808,33192340,6579,11269973,0.5834017285543669,0.4118328677325066,0.9991674667413782,0.41197423679212447,0.784653554780224,0.5834017285543668,0.9998018308969638,0.7465275142118675,0.0008325332586217304,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,52697914,325069855,40756,45192675,0.6997035549381545,0.5381107958846068,0.9992272084222071,0.5383348342096501,0.8930654783012436,0.6997035549381545,0.9998746395884323,0.8779442386460223,0.0007727915777929175,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.png,192633280,816536983,114342,31616963,0.9239053538079866,0.8585725773075996,0.9994067786735132,0.8590103512173228,0.9695155565372344,0.9239053538079864,0.9998599867575063,0.9627226128592462,0.0005932213264867154,0.9,2.25
HistoKit (no postprocessing),gaussian,normal_004.png,10669524,1294872700,77204,9622556,0.6874957311505003,0.5238045677010542,0.9928160459630131,0.5257974539820462,0.9926251137676578,0.6874957311505004,0.99994038070526,0.9926235408248967,0.007183954036986886,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,258620188,301654339,1548982,73875691,0.8727364248536951,0.7742079528653488,0.9940462507529235,0.7778147169156343,0.8813516314005114,0.8727364248536951,0.9948912762733229,0.803276209362005,0.005953749247076431,0.9,2.25
