Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Other_TP,Other_TN,Other_FP,Other_FN,Other_DICE,Other_JACCARD,Other_PRECISION,Other_RECALL,Other_ACCURACY,Other_F1,Other_SPECIFICITY,Other_NPV,Other_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,8814872,212647178,79173,24665993,0.41604203997129435,0.26265977410395064,0.9910982010997246,0.26328089193633436,0.8994945542132282,0.4160420399712943,0.999627817618138,0.8960614242519224,0.008901798900275409,212647178,8814872,24665993,79173,0.9450155713213116,0.8957625777518756,0.8960614242519224,0.999627817618138,0.8994945542132282,0.9450155713213116,0.26328089193633436,0.9910982010997246,0.10393857574807763,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,149910844,171244350,3230421,24265905,0.9159950726085,0.845010063572966,0.9789056137155456,0.8606822946270515,0.9211352183406515,0.9159950726085,0.9814848818457541,0.8758842343078116,0.02109438628445442,171244350,149910844,24265905,3230421,0.925682597760051,0.861647215087464,0.8758842343078116,0.9814848818457541,0.9211352183406515,0.925682597760051,0.8606822946270515,0.9789056137155456,0.12411576569218837,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,7843045,33192379,6540,11322736,0.5806358499825618,0.4090816651776277,0.9991668349345857,0.40922125740662485,0.7836466932876537,0.5806358499825617,0.9998030056340087,0.74564289006105,0.0008331650654142863,33192379,7843045,11322736,6540,0.8542184028176945,0.7455333589912594,0.74564289006105,0.9998030056340087,0.7836466932876537,0.8542184028176943,0.40922125740662485,0.9991668349345857,0.25435710993894994,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,52494092,325070998,39613,45396497,0.6979469951841688,0.5360357778083619,0.9992459507662748,0.5362526933002723,0.8925863330884167,0.6979469951841688,0.9998781553149614,0.877461592143192,0.0007540492337252817,325070998,52494092,45396497,39613,0.9346786369380062,0.8773677777863306,0.877461592143192,0.9998781553149614,0.8925863330884167,0.9346786369380063,0.5362526933002723,0.9992459507662748,0.12253840785680806,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.png,192431491,816534985,116340,31818752,0.9233799434495468,0.857665559759405,0.999395786494214,0.8581105127275157,0.9693197772183585,0.9233799434495467,0.9998575401809334,0.9624935323412149,0.0006042135057859987,816534985,192431491,31818752,116340,0.9808198228769108,0.9623615577429492,0.9624935323412149,0.9998575401809334,0.9693197772183585,0.980819822876911,0.8581105127275157,0.999395786494214,0.037506467658785125,0.25,1.75
HistoKit (no postprocessing),gaussian,normal_004.png,10667421,1294874289,75615,9624659,0.6874419931280424,0.5237421809389821,0.992961486864607,0.525693817489385,0.9926247229650479,0.6874419931280423,0.9999416077797555,0.9926219495885711,0.007038513135393012,1294874289,10667421,9624659,75615,0.99626833434613,0.9925644158064119,0.9926219495885711,0.9999416077797555,0.9926247229650479,0.99626833434613,0.525693817489385,0.992961486864607,0.007378050411428925,0.25,1.75
HistoKit (no postprocessing),gaussian,tumor_031.png,31528424,1305353349,89456,14905379,0.807885820988639,0.6776916466664555,0.9971707147980826,0.6789972382834979,0.9889081333967427,0.807885820988639,0.9999314745926383,0.9887102590697662,0.002829285201917396,1305353349,31528424,14905379,89456,0.9942892081176996,0.9886432721446451,0.9887102590697662,0.9999314745926383,0.9889081333967427,0.9942892081176996,0.6789972382834979,0.9971707147980826,0.01128974093023379,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,257085342,301654817,1548504,75410537,0.8698102332783214,0.7696143239744283,0.9940127557782983,0.7731985815078327,0.8789379615390424,0.8698102332783214,0.9948928527732056,0.8000067197900128,0.005987244221701749,301654817,257085342,75410537,1548504,0.8868696386762186,0.7967347486789562,0.8000067197900128,0.9948928527732056,0.8789379615390424,0.8868696386762186,0.7731985815078327,0.9940127557782983,0.19999328020998716,0.25,1.75
HistoKit (no postprocessing),gaussian,tumor_021.png,151671590,1108525232,189588,88360854,0.7740446972622586,0.6313808468658695,0.9987515703322148,0.6318795387510199,0.9343461563455672,0.7740446972622587,0.999829002015144,0.9261743828142388,0.00124842966778514,1108525232,151671590,88360854,189588,0.9615933348353741,0.9260276990642448,0.9261743828142388,0.999829002015144,0.9343461563455672,0.9615933348353741,0.6318795387510199,0.9987515703322148,0.07382561718576115,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,70189194,267356816,105418,16726100,0.892936021474372,0.8065803230844629,0.9985003402536741,0.8075586098805579,0.9525039917316653,0.892936021474372,0.999605858373261,0.9411224714406973,0.0014996597463259346,267356816,70189194,16726100,105418,0.9694829734247504,0.940773367565468,0.9411224714406973,0.999605858373261,0.9525039917316653,0.9694829734247503,0.8075586098805579,0.9985003402536741,0.058877528559302734,0.25,1.75
