Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,2-12_he_1_R3.png,3936022,3904698,56823,423737,0.9424658465791027,0.891191876432952,0.9857687939301425,0.9028072423269268,0.942249269343178,0.9424658465791026,0.985656266873254,0.9021038781915404,0.014231206069857458,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_R1.png,4227813,3764230,159217,819288,0.8962803251301047,0.8120543155450742,0.9637073373102076,0.8376715663110368,0.8909202648489256,0.8962803251301048,0.9594191026411214,0.8212534564061928,0.036292662689792414,0.25,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R2.png,5000959,5179394,105469,372482,0.9543934184673492,0.9127653128085695,0.9793458362675436,0.930680917497745,0.9551569367884422,0.9543934184673492,0.9800431912804551,0.9329088041591707,0.020654163732456425,0.25,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R4.png,5103449,4997402,107749,475816,0.9459184466875981,0.8973863964463601,0.9793235643704192,0.9147170819095347,0.9453816661575138,0.9459184466875981,0.9788940620953229,0.9130646723737297,0.02067643562958076,0.25,1.75
HistoKit (no postprocessing),gaussian,1083_he_R1.png,0,17130794,4759222,0,0.0,0.0,0.0,,0.7825848094400661,,0.7825848094400661,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,33-12_he_2_R1.png,3942434,14319247,602476,618659,0.865897803899252,0.7635095028264365,0.867439399240029,0.8643616782205493,0.9373224589299617,0.865897803899252,0.95962423374298,0.9585846235744153,0.13256060075997103,0.25,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R1.png,4818295,4989536,110642,356343,0.9537802213572919,0.911644226985136,0.9775525635649228,0.9311366321663467,0.9545505243110923,0.9537802213572918,0.9783062473505827,0.9333424868015157,0.022447436435077177,0.25,1.75
HistoKit (no postprocessing),gaussian,11-22_he_R1.png,11468514,19227672,171478,1576405,0.9291922502779126,0.8677489031238999,0.9852682029334728,0.8791556313994744,0.9461262704132456,0.9291922502779127,0.9911605405391474,0.9242261504800237,0.014731797066527193,0.25,1.75
HistoKit (no postprocessing),gaussian,390-02_he_2_R2.png,2631202,28883695,2871482,1636661,0.5385987089566224,0.3685494957870785,0.47816701813151546,0.616515103694753,0.8748538990601571,0.5385987089566224,0.9095743664096093,0.9463747736101112,0.5218329818684846,0.25,1.75
HistoKit (no postprocessing),gaussian,390-02_he_2_R1.png,3526183,27084604,1276410,2832467,0.6318620605249792,0.46184090236357017,0.7342248239648873,0.554549000180856,0.8816556231650168,0.6318620605249792,0.9549942043680103,0.9053227169197146,0.2657751760351127,0.25,1.75
HistoKit (no postprocessing),gaussian,47-07b_he_2_R1.png,10078991,37135615,195352,759002,0.9547963806563139,0.9135027500726207,0.9809864241441034,0.9299683991307247,0.9801873654735331,0.9547963806563139,0.9947670254563724,0.9799707172129487,0.019013575855896577,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-2Y-A9GY-01Z-00-DX1.9AF8DAB8-B99C-4484-A065-20E7345E1FF4_R1.png,19678135,16467934,65625,9349900,0.8069473350324711,0.6763719312042555,0.9966761650263172,0.6779010360157,0.7933451362566464,0.8069473350324712,0.996030800144119,0.6378511071068161,0.0033238349736828244,0.25,1.75
HistoKit (no postprocessing),gaussian,10-99_he_R1.png,6841478,12400808,943924,409911,0.9099651647748512,0.834803746970982,0.8787571919857189,0.9434713818276746,0.9342674768710089,0.9099651647748511,0.9292661703509669,0.9680024985326741,0.12124280801428108,0.25,1.75
HistoKit (no postprocessing),gaussian,223-98_he_R1.png,5900055,34761443,677510,276393,0.9252076189666735,0.8608245046147058,0.8969968369753852,0.955250493487519,0.9770781254757103,0.9252076189666735,0.9808823358861646,0.992111584745131,0.10300316302461474,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-08-0520-01Z-00-DX1.2d50b1bc-c1d8-41a4-b42f-19d9916a5ef6_R1.png,20211601,19738523,472904,2481330,0.9318946836783991,0.8724745298410354,0.9771372822313128,0.8906562576689631,0.9311437313664034,0.9318946836783991,0.9766021468944276,0.8883282441157464,0.022862717768687237,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-EC-A1QX-01Z-00-DX1.D94B9C3B-F06F-4300-B492-E2534AF4D703_R1.png,7739219,48969437,320813,9318631,0.6162318144499603,0.4453287919789917,0.9601970562896028,0.45370424760447536,0.8547140912852064,0.6162318144499604,0.993491349709121,0.8401279829690015,0.03980294371039718,0.25,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R4.png,5132224,4990856,114295,447041,0.9481482357305485,0.9014086090249335,0.9782150793697688,0.9198745712920967,0.9474621729442209,0.9481482357305485,0.9776118277402569,0.9177915653790427,0.021784920630231207,0.5,1.75
HistoKit (no postprocessing),gaussian,33-00_he_R2.png,23956030,43844603,961905,4328534,0.9005603289424431,0.8191084537418859,0.9613970820615754,0.8469647967704222,0.9276185332183936,0.9005603289424432,0.9785320248567463,0.9101463124562554,0.03860291793842467,0.25,1.75
HistoKit (no postprocessing),gaussian,1083_he_R1.png,0,17076618,4813398,0,0.0,0.0,0.0,,0.7801098911942321,,0.7801098911942321,1.0,1.0,0.5,1.75
HistoKit (no postprocessing),gaussian,33-00_he_R1.png,12679149,23700500,1535679,1406272,0.896045048932255,0.8116681283648398,0.8919664029701942,0.9001611666417354,0.9251823170979818,0.896045048932255,0.9391477212140554,0.9439883390823799,0.10803359702980578,0.25,1.75
HistoKit (no postprocessing),gaussian,390-02_he_2_R1.png,3684194,27038315,1322699,2674456,0.6483093680609893,0.4796285131687155,0.7358243924925099,0.5793987717518656,0.8848734538444842,0.6483093680609893,0.9533620694944123,0.9099896808682031,0.2641756075074902,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-CV-7099-01A-02-BS2.1e152adb-e0cb-4962-8004-a9d9310c5e30_R1.png,13891794,36627349,126145,2720414,0.9070667535483914,0.8299379275846316,0.9910011735676693,0.8362400711573079,0.9466593918318549,0.9070667535483915,0.9965678093081436,0.9308622957803218,0.008998826432330744,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_R1.png,4340685,3768177,155270,706416,0.9097054444613969,0.8343666762712617,0.9654645119891102,0.8600352955092438,0.9039427691596991,0.9097054444613968,0.9604251057807076,0.8421273175012789,0.03453548801088979,0.5,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R3.png,3931766,3897614,63907,427993,0.9411281188094165,0.8888026356420218,0.9840059484347192,0.9018310415782157,0.9408864982310414,0.9411281188094164,0.9838680648165187,0.9010559674052682,0.01599405156528074,0.5,1.75
