Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,2-12_he_1_R3.png,3936022,3894754,56823,423737,0.9424658465791027,0.891191876432952,0.9857687939301425,0.9028072423269268,0.9421801741621323,0.9424658465791026,0.9856201713898021,0.9018784570814203,0.014231206069857458,3619767,4348374,326908,16287,0.9547399096024664,0.9133993714802211,0.9171687559781335,0.995520693587059,0.9587076012809493,0.9547399096024664,0.930077372872909,0.9962684387172337,0.0828312440218665,274987,7903874,96829,35646,0.8058829304460846,0.6748776573030123,0.7395781784538589,0.8852472209971253,0.9840609259449985,0.8058829304460845,0.9878974385125907,0.9955103079279352,0.2604218215461411,0,8311336,0,0,,,,,1.0,,1.0,1.0,,0,8311336,0,0,,,,,1.0,,1.0,1.0,,0,8311336,0,0,,,,,1.0,,1.0,1.0,,0,8306446,0,4890,0.0,0.0,,0.0,0.9994116469361846,,1.0,0.9994116469361846,,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_R1.png,4227813,3722954,159217,819288,0.8962803251301047,0.8120543155450742,0.9637073373102076,0.8376715663110368,0.8904160383959633,0.8962803251301048,0.9589876386176703,0.8196291611059032,0.036292662689792414,2872515,5857105,180475,19177,0.9664150243865021,0.9350126474244401,0.9408858201304295,0.993368242537587,0.97764073039773,0.9664150243865022,0.9701080565392094,0.9967365419154492,0.05911417986957049,44095,8791000,54433,39744,0.4835852977786551,0.3189004281416339,0.4475377557648587,0.5259485442335906,0.9894530035595287,0.48358529777865517,0.9938462028936288,0.9954993599633282,0.5524622442351412,0,8929272,0,0,,,,,1.0,,1.0,1.0,,0,8929272,0,0,,,,,1.0,,1.0,1.0,,730032,7569551,532602,97087,0.6986777863221156,0.5368983784173371,0.5781818009019241,0.8826202759216025,0.9294803652526208,0.6986777863221155,0.9342641394207194,0.987336430910133,0.42181819909807594,12901,8734562,115189,66620,0.12428050536821267,0.06625751117045862,0.10071824498399563,0.16223387532852956,0.9796389896063196,0.12428050536821268,0.9869839275703916,0.9924305621676724,0.8992817550160044,0.25,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R2.png,5000959,5157248,105469,372482,0.9543934184673492,0.9127653128085695,0.9793458362675436,0.930680917497745,0.9550635671264004,0.9543934184673492,0.9799592111831208,0.9326401108191539,0.020654163732456425,4608332,5773751,221026,33049,0.9731726320406464,0.9477470725918254,0.9542328400586579,0.992879489962147,0.9761121450057436,0.9731726320406464,0.9631302382056914,0.994308569263622,0.045767159941342096,543897,9868858,151388,72015,0.8296190427525383,0.7088453017072853,0.7822648266538182,0.8830758290145345,0.9789958930658984,0.8296190427525383,0.9848917880858414,0.9927556664288941,0.21773517334618178,5019,10630666,68,405,0.9549995243078679,0.9138747268754552,0.9866325928838215,0.9253318584070797,0.9999555290547583,0.9549995243078679,0.9999936034520288,0.9999619041204786,0.013367407116178493,0,10636158,0,0,,,,,1.0,,1.0,1.0,,0,10636158,0,0,,,,,1.0,,1.0,1.0,,0,10636158,0,0,,,,,1.0,,1.0,1.0,,0.25,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R4.png,5103449,4954053,107749,475816,0.9459184466875981,0.8973863964463601,0.9793235643704192,0.9147170819095347,0.9451591649596793,0.9459184466875981,0.9787133119786194,0.9123706299360077,0.02067643562958076,4511117,5795842,320484,13624,0.9642907452506546,0.9310438627721107,0.9336691916406177,0.9969889989283365,0.9686020208311816,0.9642907452506546,0.9476018773361655,0.9976548619098554,0.06633080835938232,360425,10038128,148701,93813,0.7482633770828057,0.5977802066212337,0.7079288820449162,0.793471704260762,0.9772096162912987,0.7482633770828058,0.9854026213652943,0.9907408659406919,0.29207111795508384,43288,10559082,35074,3623,0.6910986405689973,0.527999024211746,0.5524106071820525,0.9227686470124278,0.9963634285922643,0.6910986405689972,0.9966893068216099,0.9996570007398673,0.44758939281794746,0,10630292,10775,0,0.0,0.0,0.0,,0.9989874135742215,,0.9989874135742215,1.0,1.0,0,10641067,0,0,,,,,1.0,,1.0,1.0,,0,10605150,5,35912,0.0,0.0,0.0,0.0,0.9966246805888921,,0.9999995285311719,0.9966251488808165,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,1083_he_R1.png,0,16836796,4759222,0,0.0,0.0,0.0,,0.7796250216127807,,0.7796250216127807,1.0,1.0,8810213,12608899,0,176906,0.9900599707866325,0.9803156050342718,1.0,0.9803156050342718,0.9918083972702746,0.9900599707866325,1.0,0.9861638747032353,0.0,25364,21343816,16431,210407,0.18276013632793642,0.10057017787329205,0.6068668501016868,0.10757896433403599,0.9894963043649991,0.1827601363279364,0.9992307673221195,0.9902382470479218,0.3931331498983132,4862,21574132,171,16853,0.3635411993420069,0.22215114685186876,0.966024240015895,0.2239005295878425,0.9992117065284906,0.36354119934200685,0.9999920739038476,0.999219442744275,0.03397575998410491,0,21595947,71,0,0.0,0.0,0.0,,0.9999967123568798,,0.9999967123568798,1.0,1.0,0,21588340,7678,0,0.0,0.0,0.0,,0.9996444714946987,,0.9996444714946987,1.0,1.0,7828795,9101394,143211,4522618,0.7704210595667983,0.626573076548762,0.982035763645938,0.633838007036118,0.7839495688510725,0.7704210595667982,0.9845086945304856,0.6680406623247249,0.01796423635406195,0.25,1.75
HistoKit (no postprocessing),gaussian,33-12_he_2_R1.png,3942434,14157139,602476,618659,0.865897803899252,0.7635095028264365,0.867439399240029,0.8643616782205493,0.9367965708088958,0.865897803899252,0.9591807780894014,0.9581302478553104,0.13256060075997103,11685440,7387881,216122,31265,0.9895256074461348,0.9792683661633576,0.9818408709713902,0.9973315876775937,0.9871957590788081,0.9895256074461348,0.9715778649745404,0.9957859031214644,0.018159129028609857,2278515,15937105,379861,725227,0.8048278047190115,0.6733990364708862,0.8571078733783333,0.758558824293165,0.9428029241992582,0.8048278047190115,0.9767198754964618,0.9564750600336135,0.14289212662166675,0,19300959,0,19749,0.0,0.0,,0.0,0.9989778324893684,,1.0,0.9989778324893684,,0,19135209,185499,0,0.0,0.0,0.0,,0.9903989543240341,,0.9903989543240341,1.0,1.0,0,19320655,53,0,0.0,0.0,0.0,,0.9999972568293046,,0.9999972568293046,1.0,1.0,0,19270981,30308,19419,0.0,0.0,0.0,0.0,0.9974262330345244,,0.9984297421793954,0.9989933334715714,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R1.png,4818295,4957954,110642,356343,0.9537802213572919,0.911644226985136,0.9775525635649228,0.9311366321663467,0.954410394217295,0.9537802213572918,0.9781710753826108,0.9329463520762953,0.022447436435077177,4728009,5289794,154705,70726,0.9767151590634832,0.9544900109822668,0.9683157768405031,0.9852615324663687,0.977992204415129,0.9767151590634832,0.9715850806474572,0.9868061307485094,0.031684223159496955,229945,9772221,201152,39916,0.6560878112526,0.4881924702715212,0.5333950363839228,0.8520868150640515,0.9764656357552702,0.6560878112526,0.9798310962600115,0.9959319768975912,0.4666049636160771,0,10243234,0,0,,,,,1.0,,1.0,1.0,,0,10243234,0,0,,,,,1.0,,1.0,1.0,,0,10243234,0,0,,,,,1.0,,1.0,1.0,,0,10242748,486,0,0.0,0.0,0.0,,0.9999525540468958,,0.9999525540468958,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,11-22_he_R1.png,11468514,19061380,171478,1576405,0.9291922502779126,0.8677489031238999,0.9852682029334728,0.8791556313994744,0.9458487181443753,0.9291922502779127,0.9910841124080467,0.923615591498797,0.014731797066527193,14613793,16740097,905114,18773,0.9693584787715015,0.9405389350276232,0.9416766915350417,0.9987170397864599,0.9713769941467778,0.9693584787715015,0.9487048355499971,0.9988798170759723,0.058323308464958264,221709,31764505,104796,186767,0.6033053915679453,0.4319522592309731,0.6790370744705287,0.5427711787228625,0.9909670669079844,0.6033053915679452,0.9967116944296959,0.9941546302131571,0.3209629255294712,0,32263690,3,14084,0.0,0.0,0.0,0.0,0.9995635696968846,,0.9999999070162241,0.9995636625995337,1.0,0,32275973,1804,0,0.0,0.0,0.0,,0.9999441101535586,,0.9999441101535586,1.0,1.0,3831142,27439595,660450,346590,0.8838386937666651,0.7918557011703983,0.8529585946363784,0.9170387186157465,0.9688008254100027,0.8838386937666651,0.9764964789202295,0.9875265352188507,0.14704140536362162,0,31978803,298974,0,0.0,0.0,0.0,,0.9907374662139837,,0.9907374662139837,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,390-02_he_2_R2.png,2631202,27427466,2871482,1636661,0.5385987089566224,0.3685494957870785,0.47816701813151546,0.616515103694753,0.8695817499624133,0.5385987089566224,0.905228326739265,0.9436879353025123,0.5218329818684846,18431727,15650079,415751,69254,0.9870140559212898,0.9743610577133514,0.9779412927289264,0.9962567390345409,0.9859690556933355,0.9870140559212898,0.9741220341557205,0.9955943423299195,0.022058707271073615,708694,32200620,156409,1501088,0.46095642601268016,0.29950836597721825,0.8192018753836249,0.32070765351514313,0.9520494673344324,0.46095642601268016,0.9951661507612457,0.9554595867960164,0.18079812461637515,28023,34328118,25810,184860,0.21013362527932333,0.11740185091309757,0.5205543068378132,0.13163568720846663,0.9939054256407974,0.21013362527932333,0.999248703088625,0.9946437540104479,0.47944569316218677,0,34552185,14626,0,0.0,0.0,0.0,,0.9995768773694513,,0.9995768773694513,1.0,1.0,0,34554675,12136,0,0.0,0.0,0.0,,0.9996489117841967,,0.9996489117841967,1.0,1.0,7298387,23218945,1972564,2076915,0.7828261259782328,0.6431506152786788,0.7872317521686826,0.7784695362346727,0.8828506627354198,0.7828261259782329,0.921697267122823,0.9178950626703342,0.21276824783131743,0.25,1.75
HistoKit (no postprocessing),gaussian,390-02_he_2_R1.png,3526183,24489844,1276410,2832467,0.6318620605249792,0.46184090236357017,0.7342248239648873,0.554549000180856,0.8720968317913106,0.6318620605249792,0.9504619491836105,0.8963313535227675,0.2657751760351127,14707588,16446668,929381,41267,0.9680558934324112,0.9380894636360876,0.940565144050615,0.997202020089017,0.9697851859728515,0.968055893432411,0.9465136752319241,0.9974971395750893,0.05943485594938508,34306,30194989,62742,1832867,0.03493089626880071,0.01777591241065021,0.3534951776440524,0.01837323054692843,0.9409925396197293,0.03493089626880071,0.9979264142443464,0.942772722594981,0.6465048223559475,263954,30768283,867628,225039,0.32575351341344894,0.19456723727555447,0.23326104515625026,0.5397909581527752,0.9659869178130462,0.32575351341344894,0.9725745846231518,0.9927391132838229,0.7667389548437498,0,31922059,202845,0,0.0,0.0,0.0,,0.9936857398857908,,0.9936857398857908,1.0,1.0,0,31988034,136870,0,0.0,0.0,0.0,,0.99573944252098,,0.99573944252098,1.0,1.0,7916786,21263460,2200211,744447,0.8431876699774153,0.728888902801506,0.7825233120065174,0.9140483808714072,0.9083372202450783,0.8431876699774155,0.9062290380733689,0.9661736574950085,0.21747668799348266,0.25,1.75
