"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","gaussian","36c069a8-8f9e-b246-f3af-1b6cffe0751a_123150_5.png",2190307,341832,4019,1114711,0.796570281837252,0.661916744962356,0.998168458105131,0.662721655373738,0.693571585285585,0.796570281837252,0.988379388811945,0.234687201133094,0.00183154189486886,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","76bd570a-7866-8dee-341c-c3f9290b76cf_114927_1.png",2686970,424712,58880,281817,0.940381690035605,0.887472103107772,0.978556731066883,0.905073351506861,0.901315295916236,0.940381690035605,0.878244470545418,0.601124653057412,0.0214432689331172,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","96e6b3f2-f43e-7954-4202-361d3af0da92_104636_1.png",4604604,242975,93964,367306,0.952301220270601,0.90894562320342,0.980001566434709,0.926123763302232,0.913112993042371,0.952301220270601,0.721124595253147,0.398136268374732,0.0199984335652905,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","32e0aaf3-9973-5f67-ccc7-24d8d8604aa6_110737_5.png",0,5464999,8909,0,0,0,0,NA,0.998372460772085,NA,0.998372460772085,1,1,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","96e6b3f2-f43e-7954-4202-361d3af0da92_104636_4.png",3273846,359364,7502,1772179,0.786285422785793,0.647833879189722,0.997713744473308,0.648797023399607,0.671214328904831,0.786285422785793,0.979551116756527,0.168593361710273,0.00228625552669208,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","db9f8afe-40d5-d8aa-882f-512377b755a1_120139_3.png",5419722,840886,344641,120651,0.958840967184019,0.920936126914906,0.940211780555805,0.978223307347718,0.930820856688324,0.958840967184019,0.709292997966305,0.874522769274609,0.0597882194441953,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","9761f929-4dae-801a-b291-ba7ecada0fc3_101038_1.png",5083709,267176,20275,976639,0.9107054501783,0.836050680991076,0.996027612939225,0.8388477031352,0.842951233963142,0.9107054501783,0.929466239463422,0.214803648452543,0.00397238706077449,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","0a6bb222-fb92-5dbe-8347-47a6b9e62ff2_125049_1.png",5672091,221890,52038,1925488,0.851556121782582,0.741486926731103,0.99090900991225,0.746565583589193,0.748774154682197,0.851556121782582,0.810030372944715,0.103330666515164,0.00909099008774959,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","d7d9e09c-5b48-9d63-55ef-dabd0e7bf5cd_123455_3.png",0,3205495,3176,0,0,0,0,NA,0.999010182097198,NA,0.999010182097198,1,1,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","4c439187-b529-301f-82bf-3874dfa019f2_103211_1.png",5209178,2767973,7046,73083,0.992367565415391,0.98485075644125,0.998649214450913,0.986164447383422,0.990055080622741,0.992367565415391,0.997460918285605,0.974276114233581,0.00135078554908685,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","0fcbbf47-bbbc-4a27-0d18-fe35bf99ccdb_133554_3.png",1753175,233894,9614,898765,0.794239012179457,0.658703524332026,0.99454614250486,0.661091502824347,0.68627341951919,0.794239012179457,0.960518750923994,0.206499926279666,0.0054538574951398,0.25,1.75,"Breast","GrandQC"
