Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,76bd570a-7866-8dee-341c-c3f9290b76cf_114927_1.png,2687851,424582,59010,280936,0.9405236291668067,0.8877249696726696,0.9785172966524335,0.9053701057031036,0.9015328270737367,0.9405236291668067,0.8779756488941091,0.6018017966940602,0.02148270334756655,0.25,1.75
HistoKit (no postprocessing),gaussian,36c069a8-8f9e-b246-f3af-1b6cffe0751a_123150_5.png,2129231,342095,3756,1175787,0.7830926966782855,0.6435105570824723,0.9982390891271254,0.6442418770487786,0.6769144551612233,0.7830926966782855,0.989139831892925,0.22537654442176663,0.0017609108728745182,0.25,1.75
HistoKit (no postprocessing),gaussian,96e6b3f2-f43e-7954-4202-361d3af0da92_104636_1.png,4603427,249664,87275,368483,0.9528328365042495,0.9099147392317142,0.9813940429385622,0.9258870333533793,0.9141512595291371,0.9528328365042497,0.7409768533770208,0.40389098385982625,0.018605957061437712,0.25,1.75
HistoKit (no postprocessing),gaussian,32e0aaf3-9973-5f67-ccc7-24d8d8604aa6_110737_5.png,0,5465858,8050,0,0.0,0.0,0.0,,0.9985293870485218,,0.9985293870485218,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,db9f8afe-40d5-d8aa-882f-512377b755a1_120139_3.png,5419358,847859,337668,121015,0.9593992387097242,0.9219666892422153,0.9413467995454597,0.9781576078000525,0.9318034761147207,0.9593992387097241,0.7151747703763811,0.8750972778710131,0.05865320045454024,0.25,1.75
HistoKit (no postprocessing),gaussian,9761f929-4dae-801a-b291-ba7ecada0fc3_101038_1.png,5082682,269734,17717,977666,0.9108139446221655,0.8362335710460483,0.9965263501933869,0.8386782409194984,0.8431924199238192,0.9108139446221656,0.9383651474512178,0.21623697290363958,0.0034736498066131687,0.25,1.75
HistoKit (no postprocessing),gaussian,96e6b3f2-f43e-7954-4202-361d3af0da92_104636_4.png,3204658,363270,3596,1841367,0.7764840514840848,0.6346333714946132,0.9988791411153854,0.6350856367140472,0.6591538606633682,0.7764840514840847,0.9901980559659385,0.1647754256142848,0.0011208588846144975,0.25,1.75
HistoKit (no postprocessing),gaussian,0a6bb222-fb92-5dbe-8347-47a6b9e62ff2_125049_1.png,5580302,229641,44287,2017277,0.8440827555662581,0.7302276695246946,0.9921261802417919,0.7344842350438212,0.7380979271186572,0.8440827555662581,0.8383261294938816,0.10220266160135795,0.007873819758208112,0.25,1.75
HistoKit (no postprocessing),gaussian,16277008-7349-6ea9-1043-9abf63a9d11e_105523_2.png,6874407,373176,3689,1527422,0.8997959086841067,0.8178445397416316,0.999463659710478,0.8182036316140212,0.825587838008706,0.8997959086841067,0.9902113488915129,0.19634662353638171,0.000536340289521984,0.25,1.75
HistoKit (no postprocessing),gaussian,d7d9e09c-5b48-9d63-55ef-dabd0e7bf5cd_123455_3.png,0,3205983,2688,0,0.0,0.0,0.0,,0.9991622699865458,,0.9991622699865458,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,4c439187-b529-301f-82bf-3874dfa019f2_103211_1.png,5209173,2768302,6717,73088,0.9923981851661307,0.984911073557122,0.9987122044368267,0.9861635008190621,0.9900952927042377,0.9923981851661307,0.9975794760324164,0.9742773783253971,0.0012877955631733031,0.25,1.75
HistoKit (no postprocessing),gaussian,0fcbbf47-bbbc-4a27-0d18-fe35bf99ccdb_133554_3.png,1744906,238104,5404,907034,0.7927337157135556,0.6566353471737193,0.9969125469202599,0.657973408146489,0.6848715639168792,0.7927337157135556,0.9778077106296302,0.20792603162238962,0.00308745307974016,0.25,1.75
HistoKit (no postprocessing),gaussian,aedd99b7-9b77-3379-0a55-09f4124063bb_103758_2.png,4536838,133759,20954,841973,0.9131567397832036,0.8401917490853769,0.9954025984511798,0.8434648475285709,0.8440547108858658,0.9131567397832036,0.8645621247083309,0.13708579814949187,0.00459740154882013,0.25,1.75
HistoKit (no postprocessing),gaussian,6fecdbd3-f25f-98e1-f3e7-fdc984783bf1_110414_3.png,2211889,801738,354740,1084383,0.7545373868670134,0.6058290139829724,0.8617875820775032,0.6710274516180703,0.6768013025658302,0.7545373868670133,0.6932583239802227,0.4250724105187313,0.13821241792249678,0.25,1.75
HistoKit (no postprocessing),gaussian,ed9d6e50-ec08-4213-59eb-4f99b1955e7c_103016_3.png,9737708,215750,114105,530561,0.9679590769063466,0.9379076500230101,0.9884178678584338,0.9483300447232148,0.9391716873665565,0.9679590769063466,0.6540752754998408,0.28908859711299983,0.011582132141566228,0.25,1.75
HistoKit (no postprocessing),gaussian,e2bfe175-7bb7-d3b3-d437-ffbd60d747a4_123954_6.png,2212724,166173,8217,688815,0.8639268479330324,0.7604500171148372,0.996300216890048,0.7626035700364531,0.7733913884228147,0.8639268479330325,0.9528814725615001,0.1943571137840531,0.003699783109952043,0.25,1.75
HistoKit (no postprocessing),gaussian,cbe296c0-32ef-a6c0-58c3-7dcdd9f9743d_115103_5.png,2640366,670896,20748,230136,0.9546454417660228,0.9132264591439688,0.9922032652490649,0.9198272636632896,0.9295694224773493,0.9546454417660227,0.9700019084962784,0.7445862078150387,0.007796734750935135,0.25,1.75
HistoKit (no postprocessing),gaussian,db9f8afe-40d5-d8aa-882f-512377b755a1_120139_1.png,4106272,7391958,1191548,286122,0.8475090436599233,0.7353715350195257,0.7750871113023847,0.93485966878199,0.8861219645650783,0.8475090436599232,0.8611816663260909,0.9627352150537635,0.22491288869761525,0.25,1.75
HistoKit (no postprocessing),gaussian,042c1e4d-d1be-7f85-b2e1-b98e0b68f672_101215_1.png,3928869,698007,1335140,27544,0.8522102350629939,0.7424793817618381,0.746364415410384,0.9930381383338898,0.7724901328311261,0.8522102350629939,0.3433135921800047,0.9620371276450588,0.253635584589616,0.25,1.75
HistoKit (no postprocessing),gaussian,a2afe16d-3866-9541-f2c7-cc8ca97faf02_130229_2.png,1340218,2135900,28951,3601,0.9880014213111152,0.9762873605920875,0.978855057337699,0.9973203236447765,0.9907224104860246,0.9880014213111153,0.9866267932527458,0.9983168972578186,0.021144942662301002,0.25,1.75
HistoKit (no postprocessing),gaussian,15fe4c3f-571c-b45d-d559-12744253eeb9_122421_3.png,2439411,165789,1064,233053,0.954210875584473,0.9124314389076905,0.9995640192995217,0.9127947093019775,0.9175446066782962,0.954210875584473,0.9936231293413963,0.4156758816774562,0.0004359807004783905,0.25,1.75
HistoKit (no postprocessing),gaussian,15fe4c3f-571c-b45d-d559-12744253eeb9_122421_1.png,4751597,1678761,244469,10215,0.9738996531827924,0.9491271065287785,0.9510677000664123,0.997854808211664,0.9619024083917498,0.9738996531827925,0.8728862382554349,0.9939519566885497,0.04893229993358775,0.25,1.75
HistoKit (no postprocessing),gaussian,73e02c87-178a-0dc6-cf2c-3f6aeb0c5685_124434_1.png,0,9486801,1886107,0,0.0,0.0,0.0,,0.8341578952366449,,0.8341578952366449,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,78f7eac9-40c9-a096-07a4-a0166ddd84e8_103411_4.png,0,3170369,1831,0,0.0,0.0,0.0,,0.9994227980581301,,0.9994227980581301,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,adf4a334-3c2a-d6ae-0b72-c218c11535ea_115443_8.png,0,7386184,15407,0,0.0,0.0,0.0,,0.9979184205125627,,0.9979184205125627,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,adf4a334-3c2a-d6ae-0b72-c218c11535ea_115443_6.png,0,5890688,38899,0,0.0,0.0,0.0,,0.9934398466537383,,0.9934398466537383,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,adf4a334-3c2a-d6ae-0b72-c218c11535ea_115443_5.png,0,5529732,26988,0,0.0,0.0,0.0,,0.9951431779898933,,0.9951431779898933,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,46e107b0-7f41-8fd8-abd7-fbe9d0e935a4_133028_1.png,0,8918547,343709,0,0.0,0.0,0.0,,0.962891438111838,,0.962891438111838,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,15fe4c3f-571c-b45d-d559-12744253eeb9_122421_5.png,3382012,269839,827,932034,0.8788001899469721,0.7838033703425339,0.9997555307834632,0.7839536249729372,0.7965278953181792,0.8788001899469721,0.9969445737551078,0.22451540220971766,0.000244469216536761,0.25,1.75
HistoKit (no postprocessing),gaussian,f010c097-faf6-f2df-c82a-aca0270a9814_110553_3.png,533883,4206911,116790,10846,0.8932275502299645,0.8070561843272831,0.8205089192267083,0.9800891819602041,0.9737829238584103,0.8932275502299645,0.9729884189494139,0.9974284910202271,0.17949108077329165,0.25,1.75
HistoKit (no postprocessing),gaussian,4a12a0e8-253e-42bb-77ff-6e284ada3080_105659_1.png,1911642,1400917,37861,9640,0.9877283290081986,0.9757541945636434,0.980579152737903,0.9949825168819569,0.9858630500645822,0.9877283290081986,0.9736853079488288,0.9931658203107,0.019420847262097057,0.25,1.75
HistoKit (no postprocessing),gaussian,f4701930-c3d0-97f5-7529-fedf8cc9402a_110850_3.png,2346175,427369,698,7680,0.9982177228718615,0.9964417874645422,0.9997025829689122,0.9967372671638652,0.9969884130468072,0.9982177228718615,0.9983694141337688,0.982346816105772,0.0002974170310877495,0.25,1.75
HistoKit (no postprocessing),gaussian,c149f6be-4555-ddd6-581f-abc8aeab9698_132314_1.png,3644363,2093057,108811,89489,0.9735141830681502,0.9483951624173133,0.9710082719319701,0.9760330618353379,0.9665920899233791,0.9735141830681502,0.9505824145679941,0.9589978859552101,0.028991728068029885,0.25,1.75
HistoKit (no postprocessing),gaussian,e2bfe175-7bb7-d3b3-d437-ffbd60d747a4_123954_3.png,4586093,276806,10405,779506,0.9207083609003205,0.8530672596225747,0.997736320128933,0.8547215324887305,0.8602622412570031,0.9207083609003205,0.9637722789168939,0.26204947023227987,0.0022636798710670603,0.25,1.75
HistoKit (no postprocessing),gaussian,e4c17e5d-ca75-8d00-1c03-2c4b0f9dc6a7_131509_7.png,0,4735410,112788,0,0.0,0.0,0.0,,0.9767360986494363,,0.9767360986494363,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,5b6306df-eee5-32e5-a263-7c4b8cf32245_100047_3.png,6725404,567949,16791,21208,0.9971829235899068,0.9943816744322348,0.9975095647634042,0.9968564962680527,0.9948169178072476,0.9971829235899068,0.9712846735301159,0.9640028040064024,0.0024904352365957973,0.25,1.75
HistoKit (no postprocessing),gaussian,78f7eac9-40c9-a096-07a4-a0166ddd84e8_103411_6.png,0,6302721,517199,0,0.0,0.0,0.0,,0.9241634799235182,,0.9241634799235182,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,6dacef70-8f47-e898-de47-4738667f2bb0_100303_3.png,2826138,198454,260,661334,0.8952157709930676,0.8103082461611156,0.9999080101245472,0.8103686567232654,0.8205207225028797,0.8952157709930677,0.9986915869037913,0.23081736428049704,9.198987545278479e-05,0.25,1.75
HistoKit (no postprocessing),gaussian,67cf3804-696c-ef64-2d57-43ad0b86332a_122601_2.png,5849054,4361020,12227,239194,0.978959756489147,0.9587866518590765,0.9979139372434115,0.9607121786103325,0.9759670104511832,0.9789597564891469,0.9972041368804461,0.9480037233050462,0.002086062756588534,0.25,1.75
HistoKit (no postprocessing),gaussian,2852fafe-6f36-4c12-47aa-96e73b433b3f_123004_2.png,2479160,1107465,7221,107052,0.9774724682228596,0.9559375545849844,0.9970957789654924,0.9586066416828938,0.9691228993611821,0.9774724682228596,0.9935219425021934,0.9118563181906881,0.0029042210345075837,0.25,1.75
HistoKit (no postprocessing),gaussian,7fcfd7e6-a936-d1a4-6766-2f191e54690d_131809_1.png,3172795,251268,10137,702835,0.8989918909828942,0.8165170479856357,0.9968152005760726,0.8186527093659611,0.8276611147838971,0.8989918909828942,0.9612210937051702,0.2633552142693189,0.0031847994239273727,0.25,1.75
HistoKit (no postprocessing),gaussian,18a7f9da-53be-2120-be0a-0738920b492f_101923_4.png,8390417,257186,66530,1535359,0.9128589926530472,0.8396877557592812,0.9921330948390713,0.845315973280074,0.8437104004764334,0.912858992653047,0.7944803469708016,0.14347533813656002,0.007866905160928642,0.25,1.75
HistoKit (no postprocessing),gaussian,78f7eac9-40c9-a096-07a4-a0166ddd84e8_103411_1.png,0,2769090,4670,0,0.0,0.0,0.0,,0.9983163647900323,,0.9983163647900323,1.0,1.0,0.25,1.75
