Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,76bd570a-7866-8dee-341c-c3f9290b76cf_114927_1.png,2687851,424582,59010,280936,0.9405236291668067,0.8877249696726696,0.9785172966524335,0.9053701057031036,0.9015328270737367,0.9405236291668067,0.8779756488941091,0.6018017966940602,0.02148270334756655,63096,3389283,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,356533,2793286,239367,63193,0.7020950625525538,0.5409449045885786,0.598310119147508,0.8494422551855257,0.9123618814736157,0.7020950625525537,0.9210700993486561,0.9778773097929304,0.401689880852492,0,3451086,523,770,0.0,0.0,0.0,0.0,0.9996254756502689,,0.999848476464165,0.9997769315985371,1.0,0,3448709,3670,0,0.0,0.0,0.0,,0.9989369649160768,,0.9989369649160768,1.0,1.0,0,3452379,0,0,,,,,1.0,,1.0,1.0,,0,3410050,42329,0,0.0,0.0,0.0,,0.987739179273191,,0.987739179273191,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,36c069a8-8f9e-b246-f3af-1b6cffe0751a_123150_5.png,2129231,342095,3756,1175787,0.7830926966782855,0.6435105570824723,0.9982390891271254,0.6442418770487786,0.6769144551612233,0.7830926966782855,0.989139831892925,0.22537654442176663,0.0017609108728745182,123841,3527028,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,511,3629992,14361,6005,0.04778380400224425,0.0244766968434162,0.03435987089833244,0.07842234499693063,0.9944216020898038,0.047783804002244246,0.9960593828314656,0.9983484584833265,0.9656401291016675,0,3435375,0,215494,0.0,0.0,,0.0,0.9409746008416079,,1.0,0.9409746008416079,,0,3650869,0,0,,,,,1.0,,1.0,1.0,,0,2276111,1374758,0,0.0,0.0,0.0,,0.623443623970074,,0.623443623970074,1.0,1.0,0,3646458,4411,0,0.0,0.0,0.0,,0.9987917945015282,,0.9987917945015282,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,96e6b3f2-f43e-7954-4202-361d3af0da92_104636_1.png,4603427,249664,87275,368483,0.9528328365042495,0.9099147392317142,0.9813940429385622,0.9258870333533793,0.9141512595291371,0.9528328365042497,0.7409768533770208,0.40389098385982625,0.018605957061437712,109361,5199488,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,5308849,0,0,,,,,1.0,,1.0,1.0,,978,5081055,216,226600,0.008549997377301418,0.004293352766095683,0.8190954773869347,0.004297427695119915,0.9572758614908806,0.00854999737730142,0.9999574909505909,0.9573069462879558,0.18090452261306533,0,5308849,0,0,,,,,1.0,,1.0,1.0,,0,4989726,319123,0,0.0,0.0,0.0,,0.9398884767677513,,0.9398884767677513,1.0,1.0,0,5120380,188469,0,0.0,0.0,0.0,,0.964499084453146,,0.964499084453146,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,32e0aaf3-9973-5f67-ccc7-24d8d8604aa6_110737_5.png,0,5465858,8050,0,0.0,0.0,0.0,,0.9985293870485218,,0.9985293870485218,1.0,1.0,0,5473908,0,0,,,,,1.0,,1.0,1.0,,0,5473908,0,0,,,,,1.0,,1.0,1.0,,0,5473908,0,0,,,,,1.0,,1.0,1.0,,0,5473908,0,0,,,,,1.0,,1.0,1.0,,0,5473361,547,0,0.0,0.0,0.0,,0.999900071393235,,0.999900071393235,1.0,1.0,5465311,0,0,8597,0.9992141120860639,0.9984294584417568,1.0,0.9984294584417568,0.9984294584417568,0.9992141120860639,,0.0,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,db9f8afe-40d5-d8aa-882f-512377b755a1_120139_3.png,5419358,847859,337668,121015,0.9593992387097242,0.9219666892422153,0.9413467995454597,0.9781576078000525,0.9318034761147207,0.9593992387097241,0.7151747703763811,0.8750972778710131,0.05865320045454024,72384,6653516,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6725709,191,0,0.0,0.0,0.0,,0.9999716023134451,,0.9999716023134451,1.0,1.0,0,6725434,0,466,0.0,0.0,,0.0,0.9999307155919653,,1.0,0.9999307155919653,,0,6725900,0,0,,,,,1.0,,1.0,1.0,,775366,5598149,15074,337311,0.8148379737031407,0.6875329749208824,0.9809296088254643,0.6968473330535276,0.9476077550959723,0.8148379737031407,0.997314555292031,0.9431702007931988,0.0190703911745357,0,6620041,105859,0,0.0,0.0,0.0,,0.9842609910941287,,0.9842609910941287,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,9761f929-4dae-801a-b291-ba7ecada0fc3_101038_1.png,5082682,269734,17717,977666,0.9108139446221655,0.8362335710460483,0.9965263501933869,0.8386782409194984,0.8431924199238192,0.9108139446221656,0.9383651474512178,0.21623697290363958,0.0034736498066131687,135415,6212384,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6347662,137,0,0.0,0.0,0.0,,0.999978417716125,,0.999978417716125,1.0,1.0,2886,6195116,647,149150,0.03710250756898868,0.018901907874485042,0.8168695159920747,0.01898234628640585,0.9764017417690761,0.03710250756898868,0.9998955737977712,0.9764905822044662,0.18313048400792528,0,6347799,0,0,,,,,1.0,,1.0,1.0,,0,5344149,1003650,0,0.0,0.0,0.0,,0.8418900787501306,,0.8418900787501306,1.0,1.0,0,6243134,104665,0,0.0,0.0,0.0,,0.9835116077241891,,0.9835116077241891,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,96e6b3f2-f43e-7954-4202-361d3af0da92_104636_4.png,3204658,363270,3596,1841367,0.7764840514840848,0.6346333714946132,0.9988791411153854,0.6350856367140472,0.6591538606633682,0.7764840514840847,0.9901980559659385,0.1647754256142848,0.0011208588846144975,74134,5338757,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,5405663,7228,0,0.0,0.0,0.0,,0.9986646692128107,,0.9986646692128107,1.0,1.0,531,5120159,0,292201,0.0036213228399082052,0.0018139458617438477,1.0,0.0018139458617438477,0.9460175717560173,0.0036213228399082052,1.0,0.946012275606205,0.0,0,5412891,0,0,,,,,1.0,,1.0,1.0,,0,3814128,1598763,0,0.0,0.0,0.0,,0.7046378728114052,,0.7046378728114052,1.0,1.0,0,4888910,523981,0,0.0,0.0,0.0,,0.9031975703926054,,0.9031975703926054,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,0a6bb222-fb92-5dbe-8347-47a6b9e62ff2_125049_1.png,5580302,229641,44287,2017277,0.8440827555662581,0.7302276695246946,0.9921261802417919,0.7344842350438212,0.7380979271186572,0.8440827555662581,0.8383261294938816,0.10220266160135795,0.007873819758208112,74113,7797394,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,7871450,57,0,0.0,0.0,0.0,,0.9999927586928399,,0.9999927586928399,1.0,1.0,11513,7027499,644193,188302,0.026914593563454315,0.013640865963355798,0.01755817393770989,0.0576182969246553,0.8942394385217468,0.026914593563454315,0.9160298666839075,0.9739042138218612,0.9824418260622901,0,7871507,0,0,,,,,1.0,,1.0,1.0,,0,6359790,1511717,0,0.0,0.0,0.0,,0.8079507519970446,,0.8079507519970446,1.0,1.0,0,7866182,5325,0,0.0,0.0,0.0,,0.9993235094626735,,0.9993235094626735,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,16277008-7349-6ea9-1043-9abf63a9d11e_105523_2.png,6874407,373176,3689,1527422,0.8997959086841067,0.8178445397416316,0.999463659710478,0.8182036316140212,0.825587838008706,0.8997959086841067,0.9902113488915129,0.19634662353638171,0.000536340289521984,151323,8627371,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,8776763,1931,0,0.0,0.0,0.0,,0.9997800356180544,,0.9997800356180544,1.0,1.0,0,8553152,0,225542,0.0,0.0,,0.0,0.9743080234941552,,1.0,0.9743080234941552,,0,8778694,0,0,,,,,1.0,,1.0,1.0,,0,7032146,1746548,0,0.0,0.0,0.0,,0.8010469438848193,,0.8010469438848193,1.0,1.0,0,8777898,796,0,0.0,0.0,0.0,,0.9999093259202337,,0.9999093259202337,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,d7d9e09c-5b48-9d63-55ef-dabd0e7bf5cd_123455_3.png,0,3205983,2688,0,0.0,0.0,0.0,,0.9991622699865458,,0.9991622699865458,1.0,1.0,0,3208671,0,0,,,,,1.0,,1.0,1.0,,0,3208671,0,0,,,,,1.0,,1.0,1.0,,0,3208671,0,0,,,,,1.0,,1.0,1.0,,0,3208671,0,0,,,,,1.0,,1.0,1.0,,0,3062565,146106,0,0.0,0.0,0.0,,0.9544652599160213,,0.9544652599160213,1.0,1.0,3059877,0,0,148794,0.976263402625297,0.9536275299025672,1.0,0.9536275299025672,0.9536275299025672,0.976263402625297,,0.0,0.0,0.25,1.75
