Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,f809f95e-93da-4287-8a36-e23950f18d38_162835_3.png,4127817,647920,4972,9571,0.9982415128479112,0.9964891993935824,0.9987969383387344,0.9976867047518869,0.9969640605559591,0.9982415128479113,0.9923846516728647,0.9854431467502978,0.0012030616612655521,0.25,1.75
HistoKit (no postprocessing),gaussian,422cfa7e-fd3c-6102-75fb-900aaca16bc3_143008_7.png,0,4244382,248418,0,0.0,0.0,0.0,,0.9447075320512821,,0.9447075320512821,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,c428abbd-190a-bb14-c088-c4a63bc0a23d_153345_4.png,4519337,292043,3389,1655871,0.8448990244284551,0.7314503600089146,0.9992506731559683,0.7318517853973502,0.7435709605232249,0.8448990244284551,0.9885286631102927,0.14992602342813902,0.0007493268440316747,0.25,1.75
HistoKit (no postprocessing),gaussian,22383f59-0019-4bd8-48c3-85b3dbec63de_150057_1.png,5747877,286642,2532,990809,0.920463332211021,0.8526466582151772,0.9995596834938175,0.8529670324451978,0.8586566892339915,0.9204633322110208,0.9912440260880993,0.22438590599561156,0.0004403165061824298,0.25,1.75
HistoKit (no postprocessing),gaussian,ebe8788e-b613-8ad7-a427-cb1985a3fb1a_141552_1.png,2281189,1517569,17385,35275,0.9885894764030112,0.9774364151236863,0.9924366150491566,0.9847720491231463,0.9863271138058761,0.9885894764030112,0.9886739276877353,0.9772836163838737,0.007563384950843436,0.25,1.75
HistoKit (no postprocessing),gaussian,f9c9fe62-ad13-adcd-2a95-e3f0edb47dd0_140030_2.png,4484872,3633968,13856,23569,0.9958449763738195,0.9917243383174524,0.9969200182807229,0.994772250540708,0.9954115026914893,0.9958449763738194,0.9962015711284317,0.9935560460495684,0.0030799817192770935,0.25,1.75
HistoKit (no postprocessing),gaussian,3387f347-06dd-7f7b-50b8-8d1a72088303_152337_2.png,7063117,315574,21647,1784166,0.8866553054984083,0.7963888541233272,0.9969445700661307,0.7983374104795788,0.8033848098928369,0.8866553054984083,0.935807675085478,0.15029194090696943,0.003055429933869357,0.25,1.75
HistoKit (no postprocessing),gaussian,58dff1be-4537-9c42-d313-957df44346bb_144618_1.png,6313084,2093242,81968,499990,0.9559393967016971,0.9155976134735655,0.9871825905403114,0.9266131558236415,0.9352537147246349,0.9559393967016971,0.9623172015575507,0.8071942656885308,0.012817409459688522,0.25,1.75
HistoKit (no postprocessing),gaussian,471ad0ae-4155-cece-bd54-ae74bd634547_150346_3.png,0,9521859,390316,175,0.0,0.0,0.0,0.0,0.9606056081554828,,0.9606225677008325,0.99998162157371,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,d453b2d1-a9e4-4e23-336a-b459202a3483_134957_2.png,3918576,5790726,286355,29743,0.961230429583295,0.9253548207016644,0.9319001905144222,0.9924669207325953,0.9684702854748938,0.9612304295832951,0.9528795156753711,0.9948899306911522,0.06809980948557777,0.25,1.75
HistoKit (no postprocessing),gaussian,05946af2-9c28-2772-aad0-50112b864693_161912_3.png,7512055,673756,10929,37920,0.996759163214071,0.9935392646170352,0.9985472519946872,0.994977466812804,0.9940678789409642,0.996759163214071,0.984037915245697,0.9467173264238221,0.0014527480053127854,0.25,1.75
HistoKit (no postprocessing),gaussian,ef3a72f1-b16d-9fbd-0abf-47c8ae24cc17_170601_4.png,9183145,370379,19994,3790888,0.8281619495939337,0.7067204801098228,0.9978274803846818,0.7078095916666776,0.7148483815891257,0.8281619495939337,0.948782318449278,0.08900630505084149,0.002172519615318208,0.25,1.75
HistoKit (no postprocessing),gaussian,4904a2d8-c11b-e076-57bb-00888e6b2940_163059_5.png,2712802,297299,0,2055027,0.7252869443767511,0.5689805569788682,1.0,0.5689805569788682,0.5942793548356528,0.7252869443767511,1.0,0.12638511838920286,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,c428abbd-190a-bb14-c088-c4a63bc0a23d_153345_1.png,7025903,210685,14487,777085,0.9466717077473874,0.8987432642893006,0.9979423014918207,0.9004118678639516,0.9014005699936225,0.9466717077473873,0.9356625157657258,0.21329358048938518,0.0020576985081792345,0.25,1.75
HistoKit (no postprocessing),gaussian,2dc79713-fe92-e338-056d-e78ad1a4ce13_164524_11.png,0,5188454,20890,0,0.0,0.0,0.0,,0.9959898981522434,,0.9959898981522434,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,1be40c17-0405-b8eb-ad17-4ef04954d623_152129_1.png,8052001,3529475,164070,231750,0.9760106502967123,0.9531453140401531,0.9800306010013788,0.9720235434406467,0.9669524740809612,0.9760106502967124,0.9555792605748678,0.9383844359218074,0.019969398998621116,0.25,1.75
HistoKit (no postprocessing),gaussian,d453b2d1-a9e4-4e23-336a-b459202a3483_134957_4.png,6705076,3509213,0,67008,0.9950280326122121,0.9901052615413513,1.0,0.9901052615413513,0.9934825343533992,0.9950280326122121,1.0,0.9812629029358085,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,f6e1dfa1-5106-6910-1781-639e714c1d19_164025_2.png,18289009,448358,27978,1236272,0.9665915901235095,0.9353432591467233,0.9984725653842523,0.9366835232742617,0.9367926103174559,0.9665915901235096,0.941264149675859,0.2661462754432724,0.0015274346157476664,0.25,1.75
HistoKit (no postprocessing),gaussian,05946af2-9c28-2772-aad0-50112b864693_161912_1.png,2604502,2705498,178605,152721,0.940197425063128,0.8871439335001914,0.9358253204062941,0.944610573754825,0.9412680635722878,0.940197425063128,0.9380726000423701,0.9465677752474531,0.06417467959370589,0.25,1.75
HistoKit (no postprocessing),gaussian,270d8023-676b-6232-2685-5d351aceebe3_141155_2.png,11828320,1072957,63883,36440,0.9957771117461437,0.99158973908432,0.9946281609891792,0.9969287200078215,0.992283795840512,0.9957771117461436,0.9438065163083635,0.967153327438239,0.005371839010820788,0.25,1.75
HistoKit (no postprocessing),gaussian,3ac230b9-44c8-f340-4d1e-154210441df7_162156_4.png,8816581,416455,4366,1918323,0.9016821615177985,0.8209665088967872,0.9995050418056021,0.8213004047358039,0.8276500182641648,0.9016821615177983,0.9896250424764924,0.17837027760241017,0.0004949581943979485,0.25,1.75
HistoKit (no postprocessing),gaussian,a3ea1aa4-9d27-f0ff-d78c-d53e7ea281e3_155514_4.png,6174522,2044628,53024,24874,0.9937315230086372,0.9875411440690165,0.9914855707207944,0.9959876736378834,0.9906113596064527,0.9937315230086372,0.974722213217445,0.9879806832754934,0.008514429279205645,0.25,1.75
HistoKit (no postprocessing),gaussian,3387f347-06dd-7f7b-50b8-8d1a72088303_152337_3.png,10556394,1813479,379948,2662523,0.8740451923947493,0.7762702254930834,0.9652582188815968,0.7985823649547085,0.8025951795521823,0.8740451923947493,0.8267788260106217,0.40515598518499324,0.03474178111840321,0.25,1.75
