Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,f809f95e-93da-4287-8a36-e23950f18d38_162835_3.png,4127817,647920,4972,9571,0.9982415128479112,0.9964891993935824,0.9987969383387344,0.9976867047518869,0.9969640605559591,0.9982415128479113,0.9923846516728647,0.9854431467502978,0.0012030616612655521,18217,4772063,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,627582,4146252,9353,7093,0.98706678934579,0.9744638431869422,0.9853156130531373,0.9888242013629023,0.9965667977654751,0.9870667893457901,0.9977493048545278,0.9982922198854176,0.01468438694686271,0,4790280,0,0,,,,,1.0,,1.0,1.0,,0,4790280,0,0,,,,,1.0,,1.0,1.0,,0,4790280,0,0,,,,,1.0,,1.0,1.0,,0,4787941,2339,0,0.0,0.0,0.0,,0.9995117195654534,,0.9995117195654534,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,422cfa7e-fd3c-6102-75fb-900aaca16bc3_143008_7.png,0,4244382,248418,0,0.0,0.0,0.0,,0.9447075320512821,,0.9447075320512821,1.0,1.0,0,4492800,0,0,,,,,1.0,,1.0,1.0,,0,4492800,0,0,,,,,1.0,,1.0,1.0,,0,4492800,0,0,,,,,1.0,,1.0,1.0,,0,4492800,0,0,,,,,1.0,,1.0,1.0,,0,4385999,106801,0,0.0,0.0,0.0,,0.9762284099002849,,0.9762284099002849,1.0,1.0,4137581,0,0,355219,0.9588408669327576,0.9209359419515669,1.0,0.9209359419515669,0.9209359419515669,0.9588408669327576,,0.0,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,c428abbd-190a-bb14-c088-c4a63bc0a23d_153345_4.png,4519337,292043,3389,1655871,0.8448990244284551,0.7314503600089146,0.9992506731559683,0.7318517853973502,0.7435709605232249,0.8448990244284551,0.9885286631102927,0.14992602342813902,0.0007493268440316747,110098,6360542,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6468954,1686,0,0.0,0.0,0.0,,0.9997394384481287,,0.9997394384481287,1.0,1.0,0,6285306,0,185334,0.0,0.0,,0.0,0.9713577018656578,,1.0,0.9713577018656578,,0,6470640,0,0,,,,,1.0,,1.0,1.0,,0,4634510,1836130,0,0.0,0.0,0.0,,0.7162367246516573,,0.7162367246516573,1.0,1.0,0,6470640,0,0,,,,,1.0,,1.0,1.0,,0.25,1.75
HistoKit (no postprocessing),gaussian,22383f59-0019-4bd8-48c3-85b3dbec63de_150057_1.png,5747877,286642,2532,990809,0.920463332211021,0.8526466582151772,0.9995596834938175,0.8529670324451978,0.8586566892339915,0.9204633322110208,0.9912440260880993,0.22438590599561156,0.0004403165061824298,113777,6914083,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,7027860,0,0,,,,,1.0,,1.0,1.0,,0,6851840,623,175397,0.0,0.0,0.0,0.0,0.9749539689179921,,0.9999090837849106,0.9750404035042507,1.0,0,7027860,0,0,,,,,1.0,,1.0,1.0,,0,5864809,1163051,0,0.0,0.0,0.0,,0.834508513260082,,0.834508513260082,1.0,1.0,0,7027860,0,0,,,,,1.0,,1.0,1.0,,0.25,1.75
HistoKit (no postprocessing),gaussian,ebe8788e-b613-8ad7-a427-cb1985a3fb1a_141552_1.png,2281189,1517569,17385,35275,0.9885894764030112,0.9774364151236863,0.9924366150491566,0.9847720491231463,0.9863271138058761,0.9885894764030112,0.9886739276877353,0.9772836163838737,0.007563384950843436,24498,3826920,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1486273,2313698,27264,24183,0.9829870637928064,0.9665433238821112,0.9819865652441929,0.9839896031397141,0.9866420627415668,0.9829870637928063,0.9883535059518267,0.9896560175646237,0.018013434755807092,0,3851418,0,0,,,,,1.0,,1.0,1.0,,0,3850661,757,0,0.0,0.0,0.0,,0.9998034490154016,,0.9998034490154016,1.0,1.0,0,3840593,10825,0,0.0,0.0,0.0,,0.9971893468847058,,0.9971893468847058,1.0,1.0,0,3848191,3227,0,0.0,0.0,0.0,,0.9991621267803183,,0.9991621267803183,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,f9c9fe62-ad13-adcd-2a95-e3f0edb47dd0_140030_2.png,4484872,3633968,13856,23569,0.9958449763738195,0.9917243383174524,0.9969200182807229,0.994772250540708,0.9954115026914893,0.9958449763738194,0.9962015711284317,0.9935560460495684,0.0030799817192770935,70665,8085600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,8156265,0,0,,,,,1.0,,1.0,1.0,,0,8155243,0,1022,0.0,0.0,,0.0,0.9998746975484489,,1.0,0.9998746975484489,,0,8156265,0,0,,,,,1.0,,1.0,1.0,,3305331,4830736,10657,9541,0.9969539396096434,0.9939263798331033,0.9967861765482867,0.9971217591508812,0.9975236214124971,0.9969539396096434,0.9977987740305321,0.9980288318209888,0.0032138234517133353,248805,7872921,22079,12460,0.9350952458803832,0.8781022361511096,0.9184927865802336,0.9523089583373203,0.9957653411212117,0.935095245880383,0.9972034198860038,0.9984198607524482,0.0815072134197664,0.25,1.75
HistoKit (no postprocessing),gaussian,3387f347-06dd-7f7b-50b8-8d1a72088303_152337_2.png,7063117,315574,21647,1784166,0.8866553054984083,0.7963888541233272,0.9969445700661307,0.7983374104795788,0.8033848098928369,0.8866553054984083,0.935807675085478,0.15029194090696943,0.003055429933869357,122169,9062335,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,9180802,452,3250,0.0,0.0,0.0,0.0,0.9995969297852121,,0.9999507692522176,0.9996461256970235,1.0,0,8972702,0,211802,0.0,0.0,,0.0,0.9769392010717182,,1.0,0.9769392010717182,,0,9184504,0,0,,,,,1.0,,1.0,1.0,,0,7306087,1878417,0,0.0,0.0,0.0,,0.7954797559018973,,0.7954797559018973,1.0,1.0,0,9085802,98702,0,0.0,0.0,0.0,,0.9892534207617526,,0.9892534207617526,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,58dff1be-4537-9c42-d313-957df44346bb_144618_1.png,6313084,2093242,81968,499990,0.9559393967016971,0.9155976134735655,0.9871825905403114,0.9266131558236415,0.9352537147246349,0.9559393967016971,0.9623172015575507,0.8071942656885308,0.012817409459688522,72855,8915429,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,29962,8566561,386417,5344,0.13266767769573928,0.07104663487644734,0.07195848013468499,0.8486376253328046,0.9564142610536116,0.13266767769573928,0.9568392773890431,0.9993765679857628,0.928041519865315,0,8988284,0,0,,,,,1.0,,1.0,1.0,,0,8918659,69625,0,0.0,0.0,0.0,,0.9922538050644595,,0.9922538050644595,1.0,1.0,1184900,7680258,23687,99439,0.950609845619164,0.905868843585678,0.9804010799388045,0.922575737402664,0.9863015009316572,0.9506098456191641,0.9969253414971161,0.9872181397296065,0.01959892006119543,705382,8085170,120404,77328,0.8770702569356715,0.7810553263486116,0.8541946702898814,0.9012047884912675,0.9780011401508898,0.8770702569356716,0.9853265597263519,0.9905264295317439,0.14580532971011861,0.25,1.75
HistoKit (no postprocessing),gaussian,471ad0ae-4155-cece-bd54-ae74bd634547_150346_3.png,0,9521859,390316,175,0.0,0.0,0.0,0.0,0.9606056081554828,,0.9606225677008325,0.99998162157371,1.0,545632,9366718,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,9907520,4830,0,0.0,0.0,0.0,,0.9995127290703012,,0.9995127290703012,1.0,1.0,0,9912284,66,0,0.0,0.0,0.0,,0.99999334163947,,0.99999334163947,1.0,1.0,0,9912350,0,0,,,,,1.0,,1.0,1.0,,8500033,1190033,2262,220022,0.9870932828562885,0.9745154871119681,0.9997339541853112,0.974768278411088,0.9775750452718074,0.9870932828562886,0.9981028185138745,0.8439621149529628,0.0002660458146888575,462390,9259041,6821,184098,0.8288794737648775,0.7077661565966488,0.9854628301553032,0.7152336934328247,0.980739279787336,0.8288794737648775,0.999263856940671,0.9805045758619035,0.014537169844696735,0.25,1.75
HistoKit (no postprocessing),gaussian,d453b2d1-a9e4-4e23-336a-b459202a3483_134957_2.png,3918576,5790726,286355,29743,0.961230429583295,0.9253548207016644,0.9319001905144222,0.9924669207325953,0.9684702854748938,0.9612304295832951,0.9528795156753711,0.9948899306911522,0.06809980948557777,56576,9968824,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,10025400,0,0,,,,,1.0,,1.0,1.0,,0,10025400,0,0,,,,,1.0,,1.0,1.0,,0,10025400,0,0,,,,,1.0,,1.0,1.0,,5112195,4802575,24735,85895,0.989295618199094,0.9788179768611814,0.9951848672261449,0.9834756612524985,0.98896502882678,0.989295618199094,0.9948760282641885,0.9824290626719607,0.004815132773855202,617632,9193654,9331,204783,0.8522718021109745,0.7425728527699562,0.9851171440738927,0.7509979754746691,0.9786428471681928,0.8522718021109745,0.9989860898393293,0.9782109514592693,0.014882855926107282,0.25,1.75
