Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,4adc5212-3bb5-0299-1727-5490f70e71c6_162331_3.png,4420722,237782,4516,1050036,0.8934364969428039,0.8073974014816427,0.9989794899167005,0.8080638916947158,0.8154136770232954,0.8934364969428038,0.9813617941543058,0.18463944439354008,0.0010205100832994746,0.25,1.75
HistoKit (no postprocessing),gaussian,1d49a2ac-7490-df96-fb85-41e83b5a5b35_151838_3.png,0,6148255,41180,0,0.0,0.0,0.0,,0.9933467271245275,,0.9933467271245275,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,538ad0bc-9add-9e27-6ee9-4f1bdd825510_142716_4.png,0,6989957,19,0,0.0,0.0,0.0,,0.9999972818218547,,0.9999972818218547,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,4adc5212-3bb5-0299-1727-5490f70e71c6_162331_1.png,6079609,582988,47328,2968693,0.8012538056237533,0.6684098847468509,0.9922754224500758,0.6719060659115932,0.6883830935367012,0.8012538056237534,0.9249138527341841,0.16414424606263908,0.007724577549924212,0.25,1.75
HistoKit (no postprocessing),gaussian,dfdc8007-a219-a302-d10c-929e29813dc8_163630_7.png,2203178,426291,35989,183102,0.9526335508762721,0.9095513338939647,0.9839275051838474,0.9232688536131552,0.9230871036593928,0.9526335508762721,0.9221489140780479,0.6995337983862631,0.016072494816152614,0.25,1.75
HistoKit (no postprocessing),gaussian,110ff982-b33a-42d4-9522-02719d6987c7_164031_4.png,11530492,435704,14173,3323284,0.8735737083867945,0.7755267387586546,0.998772333367837,0.776266721674004,0.7819176245044239,0.8735737083867945,0.968495833305548,0.11590992043603225,0.0012276666321629948,0.25,1.75
HistoKit (no postprocessing),gaussian,91e6ffad-da04-5736-d731-feb79e91105c_134712_2.png,6735135,190350,1128,970631,0.9327131250048036,0.8739104235766055,0.9998325481056782,0.8740383499836356,0.8769496041910317,0.9327131250048039,0.9941089837997055,0.16395617154802705,0.00016745189432182205,0.25,1.75
HistoKit (no postprocessing),gaussian,654bcee2-3394-aaf6-25f2-380d7ca46c60_144121_7.png,5290487,321902,0,469449,0.9575175538529158,0.9184975319170213,1.0,0.9184975319170213,0.9228113277597989,0.9575175538529158,1.0,0.4067752489097758,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,8a22c195-cd7e-901b-eb5d-b1439c8b19ac_152323_3.png,3875905,453471,91298,3135,0.9879645583242833,0.976215375114159,0.9769868090944678,0.9991918103448276,0.9786534635649957,0.9879645583242833,0.8324097002582747,0.9931341243873274,0.023013190905532183,0.25,1.75
HistoKit (no postprocessing),gaussian,2f6f5632-66e3-03e5-2957-29197ae74c65_142917_2.png,23358916,1060718,15165,296535,0.993372249589896,0.9868317748891706,0.999351204438797,0.9874644114796205,0.9873965553172344,0.993372249589896,0.9859046011508686,0.7815182578340221,0.0006487955612030265,0.25,1.75
