Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,4adc5212-3bb5-0299-1727-5490f70e71c6_162331_3.png,4420722,237782,4516,1050036,0.8934364969428039,0.8073974014816427,0.9989794899167005,0.8080638916947158,0.8154136770232954,0.8934364969428038,0.9813617941543058,0.18463944439354008,0.0010205100832994746,101763,5611293,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,5711739,1317,0,0.0,0.0,0.0,,0.9997694753911042,,0.9997694753911042,1.0,1.0,0,5572521,0,140535,0.0,0.0,,0.0,0.9754010813126985,,1.0,0.9754010813126985,,0,5713056,0,0,,,,,1.0,,1.0,1.0,,0,4532796,1180260,0,0.0,0.0,0.0,,0.7934100418410042,,0.7934100418410042,1.0,1.0,0,5708578,4478,0,0.0,0.0,0.0,,0.9992161813222206,,0.9992161813222206,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,1d49a2ac-7490-df96-fb85-41e83b5a5b35_151838_3.png,0,6148255,41180,0,0.0,0.0,0.0,,0.9933467271245275,,0.9933467271245275,1.0,1.0,726968,5462467,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6189435,0,0,,,,,1.0,,1.0,1.0,,0,5371011,818424,0,0.0,0.0,0.0,,0.8677708062206001,,0.8677708062206001,1.0,1.0,0,5687350,502085,0,0.0,0.0,0.0,,0.9188803178319184,,0.9188803178319184,1.0,1.0,0,6188488,947,0,0.0,0.0,0.0,,0.9998469973430532,,0.9998469973430532,1.0,1.0,4099831,726968,0,1362636,0.8574991074321257,0.7505456783537549,1.0,0.7505456783537549,0.7798448485200992,0.8574991074321257,1.0,0.3478974963677328,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,538ad0bc-9add-9e27-6ee9-4f1bdd825510_142716_4.png,0,6989957,19,0,0.0,0.0,0.0,,0.9999972818218547,,0.9999972818218547,1.0,1.0,1616566,5373410,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6989976,0,0,,,,,1.0,,1.0,1.0,,0,6989976,0,0,,,,,1.0,,1.0,1.0,,0,6989976,0,0,,,,,1.0,,1.0,1.0,,5373391,1616566,0,19,0.9999982320320252,0.9999964640703017,1.0,0.9999964640703017,0.9999972818218547,0.9999982320320252,1.0,0.9999882468289635,0.0,0,6989976,0,0,,,,,1.0,,1.0,1.0,,0.25,1.75
HistoKit (no postprocessing),gaussian,4adc5212-3bb5-0299-1727-5490f70e71c6_162331_1.png,6079609,582988,47328,2968693,0.8012538056237533,0.6684098847468509,0.9922754224500758,0.6719060659115932,0.6883830935367012,0.8012538056237534,0.9249138527341841,0.16414424606263908,0.007724577549924212,175238,9503380,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,9676073,2545,0,0.0,0.0,0.0,,0.9997370492357484,,0.9997370492357484,1.0,1.0,0,9223540,0,455078,0.0,0.0,,0.0,0.9529810970946472,,1.0,0.9529810970946472,,0,9678618,0,0,,,,,1.0,,1.0,1.0,,0,6318945,3359673,0,0.0,0.0,0.0,,0.6528767846814494,,0.6528767846814494,1.0,1.0,0,9664393,14225,0,0.0,0.0,0.0,,0.998530265374664,,0.998530265374664,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,dfdc8007-a219-a302-d10c-929e29813dc8_163630_7.png,2203178,426291,35989,183102,0.9526335508762721,0.9095513338939647,0.9839275051838474,0.9232688536131552,0.9230871036593928,0.9526335508762721,0.9221489140780479,0.6995337983862631,0.016072494816152614,27357,2821203,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,2848560,0,0,,,,,1.0,,1.0,1.0,,0,2848560,0,0,,,,,1.0,,1.0,1.0,,0,2848560,0,0,,,,,1.0,,1.0,1.0,,391335,2266370,190701,154,0.8039547007010606,0.6721774678369604,0.6723553182277385,0.999606630071343,0.9329994804392395,0.8039547007010606,0.9223868581738175,0.9999320545469627,0.3276446817722615,0,2805126,0,43434,0.0,0.0,,0.0,0.9847522958968742,,1.0,0.9847522958968742,,0.25,1.75
HistoKit (no postprocessing),gaussian,110ff982-b33a-42d4-9522-02719d6987c7_164031_4.png,11530492,435704,14173,3323284,0.8735737083867945,0.7755267387586546,0.998772333367837,0.776266721674004,0.7819176245044239,0.8735737083867945,0.968495833305548,0.11590992043603225,0.0012276666321629948,160755,15142898,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,15292892,4485,6276,0.0,0.0,0.0,0.0,0.9992968345531619,,0.9997068124816431,0.9995897816142681,1.0,19237,15017681,3126,263609,0.12605788164831314,0.0672688235211839,0.8602155345883826,0.06801227523104446,0.9825705013044924,0.12605788164831314,0.9997918886781516,0.9827495584469635,0.1397844654116174,0,15284861,18792,0,0.0,0.0,0.0,,0.998772057887094,,0.998772057887094,1.0,1.0,0,11752534,3551119,0,0.0,0.0,0.0,,0.767956121326065,,0.767956121326065,1.0,1.0,0,15302179,1474,0,0.0,0.0,0.0,,0.9999036831271593,,0.9999036831271593,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,91e6ffad-da04-5736-d731-feb79e91105c_134712_2.png,6735135,190350,1128,970631,0.9327131250048036,0.8739104235766055,0.9998325481056782,0.8740383499836356,0.8769496041910317,0.9327131250048039,0.9941089837997055,0.16395617154802705,0.00016745189432182205,68784,7828460,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,7897067,177,0,0.0,0.0,0.0,,0.9999775871177338,,0.9999775871177338,1.0,1.0,0,7774550,0,122694,0.0,0.0,,0.0,0.9844636939165107,,1.0,0.9844636939165107,,0,7897244,0,0,,,,,1.0,,1.0,1.0,,0,6829513,1067731,0,0.0,0.0,0.0,,0.8647970101974816,,0.8647970101974816,1.0,1.0,0,7872955,24289,0,0.0,0.0,0.0,,0.9969243700713819,,0.9969243700713819,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,654bcee2-3394-aaf6-25f2-380d7ca46c60_144121_7.png,5290487,321902,0,469449,0.9575175538529158,0.9184975319170213,1.0,0.9184975319170213,0.9228113277597989,0.9575175538529158,1.0,0.4067752489097758,0.0,176026,5905812,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6081838,0,0,,,,,1.0,,1.0,1.0,,0,5935962,0,145876,0.0,0.0,,0.0,0.9760144877255856,,1.0,0.9760144877255856,,0,6081838,0,0,,,,,1.0,,1.0,1.0,,0,5467491,614347,0,0.0,0.0,0.0,,0.8989866221362687,,0.8989866221362687,1.0,1.0,0,6080860,978,0,0.0,0.0,0.0,,0.9998391933491159,,0.9998391933491159,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,8a22c195-cd7e-901b-eb5d-b1439c8b19ac_152323_3.png,3875905,453471,91298,3135,0.9879645583242833,0.976215375114159,0.9769868090944678,0.9991918103448276,0.9786534635649957,0.9879645583242833,0.8324097002582747,0.9931341243873274,0.023013190905532183,29771,4394038,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,27809,3908552,259,487189,0.10241480777658701,0.05397112508903324,0.9907724098617643,0.053998267954438656,0.8898126026688765,0.10241480777658701,0.9999337394414823,0.8891679468831307,0.009227590138235714,0,4414317,9492,0,0.0,0.0,0.0,,0.997854337743786,,0.997854337743786,1.0,1.0,0,4423809,0,0,,,,,1.0,,1.0,1.0,,0,4423809,0,0,,,,,1.0,,1.0,1.0,,0,4034534,389275,0,0.0,0.0,0.0,,0.9120045643923597,,0.9120045643923597,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,2f6f5632-66e3-03e5-2957-29197ae74c65_142917_2.png,23358916,1060718,15165,296535,0.993372249589896,0.9868317748891706,0.999351204438797,0.9874644114796205,0.9873965553172344,0.993372249589896,0.9859046011508686,0.7815182578340221,0.0006487955612030265,260814,24470520,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,795013,23820957,95308,20056,0.9323533033499669,0.8732788723792451,0.8929509693694746,0.9753934942931212,0.9953353102586379,0.9323533033499668,0.996014929588713,0.9991587605778328,0.1070490306305254,0,24686523,44811,0,0.0,0.0,0.0,,0.998188088034394,,0.998188088034394,1.0,1.0,0,24731334,0,0,,,,,1.0,,1.0,1.0,,0,24583418,147916,0,0.0,0.0,0.0,,0.9940190852624448,,0.9940190852624448,1.0,1.0,0,24717943,13391,0,0.0,0.0,0.0,,0.9994585411365193,,0.9994585411365193,1.0,1.0,0.25,1.75
