Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,2125a939-8f92-6ca7-9a29-e1755d6267ed_103351_7.png,938391,328035,17333,1428691,0.5648184095008857,0.3935518775045451,0.9818640109487676,0.39643366811965114,0.46689376762705304,0.5648184095008858,0.9498129531398393,0.1867308846114875,0.018135989051232364,0.25,1.75
HistoKit (no postprocessing),gaussian,39bcf904-a619-148a-5bca-38122a540be1_104536_1.png,1675151,912317,1379,330469,0.9098765666797931,0.8346546261358376,0.9991774677458799,0.8352285078928212,0.8863267970990465,0.909876566679793,0.998490745280706,0.7340901812540533,0.0008225322541201172,0.25,1.75
HistoKit (no postprocessing),gaussian,228e0715-eef2-126e-c558-f7684e2bcfa8_110725_2.png,2868502,184942,61367,625695,0.8930487326873665,0.8067642714348553,0.9790546949368726,0.8209331070915578,0.816318433923111,0.8930487326873665,0.7508536025886183,0.22814403981066742,0.020945305063127397,0.25,1.75
HistoKit (no postprocessing),gaussian,0502ebf6-5b9d-c3a6-85fe-a3909acf1f7b_112628_8.png,4011259,94886,530,52290,0.9934590973158027,0.9870032054002887,0.9998678893630747,0.987131938116164,0.9872997248113413,0.9934590973158027,0.9944453760375618,0.6447110942001413,0.00013211063692532184,0.25,1.75
HistoKit (no postprocessing),gaussian,9e7010fd-072a-6a7f-3911-83d91e8c9301_113642_3.png,3292034,270625,4026,477641,0.9318305880421499,0.8723621717777853,0.9987785416527611,0.8732938515919807,0.8809030231489746,0.9318305880421498,0.985341396900066,0.36166951324796265,0.0012214583472388246,0.25,1.75
HistoKit (no postprocessing),gaussian,c74350c8-f970-c60d-af8a-f9c4d9c5bab2_124242_3.png,307494,1908182,1519154,19174,0.2856004413657819,0.1665891944076948,0.16833785162768086,0.9413043212068523,0.5902167392469481,0.2856004413657819,0.55675370024999,0.9900516562586258,0.8316621483723191,0.25,1.75
HistoKit (no postprocessing),gaussian,be2180cd-04c9-2627-2456-4397fd5e59ee_103647_4.png,4398777,437239,27362,448746,0.9486601948615336,0.9023345166091098,0.9938180884061707,0.9074277729058737,0.9103733271286589,0.9486601948615336,0.9411064547859346,0.4935060977330316,0.006181911593829295,0.25,1.75
HistoKit (no postprocessing),gaussian,332605c9-e7e2-297a-c808-98d567218fe3_115336_2.png,5444251,468840,13028,183737,0.9822498637155064,0.9651188722031634,0.9976127297138373,0.9673529865379955,0.9677954766855389,0.9822498637155064,0.9729635501838678,0.7184439537403249,0.002387270286162756,0.25,1.75
HistoKit (no postprocessing),gaussian,3e1fffa8-5bae-87b0-bc39-e4a1bc285608_122517_10.png,3512544,1692463,315387,1717486,0.7755705726708252,0.6334138622938545,0.9176090164634629,0.671610679097443,0.7191341939905055,0.7755705726708252,0.8429230271185596,0.49633088354107346,0.08239098353653711,0.25,1.75
HistoKit (no postprocessing),gaussian,d9d9ce51-54c1-b32b-5fae-fd9ffdaa32e5_111717_1.png,7402661,300102,7598,645649,0.9577420781962418,0.9189108167570931,0.9989746647181967,0.9197783137080953,0.9218230949939026,0.9577420781962418,0.975307117322067,0.31731608002529205,0.0010253352818032405,0.25,1.75
HistoKit (no postprocessing),gaussian,04e13be9-17d6-1bd0-76ee-d5d53a64912e_105258_2.png,3255604,114396,7976,914376,0.8759205548889092,0.7792336731167107,0.9975560580711978,0.7807241281732766,0.7851173435915787,0.8759205548889092,0.9348216912365573,0.11119664998658595,0.002443941928802113,0.25,1.75
HistoKit (no postprocessing),gaussian,b91bdd22-8eea-af27-bee7-880d6f1d7c1e_121440_5.png,3225133,799687,311929,4775391,0.5590654752215931,0.38798811854936205,0.9118112716146903,0.4031152209530276,0.4416986569565437,0.5590654752215931,0.7193914085439577,0.1434396074817249,0.08818872838530961,0.25,1.75
