Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,2125a939-8f92-6ca7-9a29-e1755d6267ed_103351_7.png,938391,328035,17333,1428691,0.5648184095008857,0.3935518775045451,0.9818640109487676,0.39643366811965114,0.46689376762705304,0.5648184095008858,0.9498129531398393,0.1867308846114875,0.018135989051232364,105555,2606895,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,2710173,0,2277,0.0,0.0,,0.0,0.999160537521429,,1.0,0.999160537521429,,253,2496089,0,216108,0.002335952431514122,0.0011693419793770597,1.0,0.0011693419793770597,0.920327379306531,0.0023359524315141223,1.0,0.9203199472604682,0.0,0,2712450,0,0,,,,,1.0,,1.0,1.0,,0,1069219,1643231,0,0.0,0.0,0.0,,0.39418938597946507,,0.39418938597946507,1.0,1.0,3102,2686690,4585,18073,0.21495391864735638,0.1204192546583851,0.403538441524652,0.14649350649350648,0.9916466662979962,0.21495391864735638,0.9982963465272037,0.993318083691621,0.596461558475348,0.25,1.75
HistoKit (no postprocessing),gaussian,39bcf904-a619-148a-5bca-38122a540be1_104536_1.png,1675151,912317,1379,330469,0.9098765666797931,0.8346546261358376,0.9991774677458799,0.8352285078928212,0.8863267970990465,0.909876566679793,0.998490745280706,0.7340901812540533,0.0008225322541201172,155124,2764192,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,2919148,168,0,0.0,0.0,0.0,,0.9999424522730667,,0.9999424522730667,1.0,1.0,0,2861109,0,58207,0.0,0.0,,0.0,0.9800614253475814,,1.0,0.9800614253475814,,0,2919316,0,0,,,,,1.0,,1.0,1.0,,253214,1876433,342518,447151,0.3907331009947558,0.24280192504815976,0.42504683313973396,0.3615457654223155,0.7295020477399501,0.3907331009947558,0.845639673881938,0.8075597869498155,0.574953166860266,0,2427554,491762,0,0.0,0.0,0.0,,0.8315488970704097,,0.8315488970704097,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,228e0715-eef2-126e-c558-f7684e2bcfa8_110725_2.png,2868502,184942,61367,625695,0.8930487326873665,0.8067642714348553,0.9790546949368726,0.8209331070915578,0.816318433923111,0.8930487326873665,0.7508536025886183,0.22814403981066742,0.020945305063127397,74493,3666013,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,3728826,11680,0,0.0,0.0,0.0,,0.9968774278132424,,0.9968774278132424,1.0,1.0,7791,3553281,15409,164025,0.07990113631702014,0.0416130324475898,0.3358189655172414,0.04534502025422545,0.9520294847809361,0.07990113631702016,0.9956821690872562,0.9558753032438008,0.6641810344827587,0,3739334,1172,0,0.0,0.0,0.0,,0.9996866734072877,,0.9996866734072877,1.0,1.0,0,3141212,599294,0,0.0,0.0,0.0,,0.8397826390333286,,0.8397826390333286,1.0,1.0,0,3639708,100798,0,0.0,0.0,0.0,,0.9730523089656854,,0.9730523089656854,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,0502ebf6-5b9d-c3a6-85fe-a3909acf1f7b_112628_8.png,4011259,94886,530,52290,0.9934590973158027,0.9870032054002887,0.9998678893630747,0.987131938116164,0.9872997248113413,0.9934590973158027,0.9944453760375618,0.6447110942001413,0.00013211063692532184,44051,4114914,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4158965,0,0,,,,,1.0,,1.0,1.0,,0,4107276,324,51365,0.0,0.0,0.0,0.0,0.9875716674701518,,0.9999211218229623,0.9876486092451837,1.0,0,4158965,0,0,,,,,1.0,,1.0,1.0,,0,4056164,102801,0,0.0,0.0,0.0,,0.9752820713807402,,0.9752820713807402,1.0,1.0,0,4158965,0,0,,,,,1.0,,1.0,1.0,,0.25,1.75
HistoKit (no postprocessing),gaussian,9e7010fd-072a-6a7f-3911-83d91e8c9301_113642_3.png,3292034,270625,4026,477641,0.9318305880421499,0.8723621717777853,0.9987785416527611,0.8732938515919807,0.8809030231489746,0.9318305880421498,0.985341396900066,0.36166951324796265,0.0012214583472388246,110055,3934271,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4042278,0,2048,0.0,0.0,,0.0,0.9994936115436788,,1.0,0.9994936115436788,,0,3932003,0,112323,0.0,0.0,,0.0,0.9722270163186647,,1.0,0.9722270163186647,,0,4044326,0,0,,,,,1.0,,1.0,1.0,,50225,3421825,572276,0,0.14931785006079742,0.08068260131309025,0.08068260131309025,1.0,0.8584990428565847,0.1493178500607974,0.8567196973737019,1.0,0.9193173986869098,0,4028616,15710,0,0.0,0.0,0.0,,0.9961155455816371,,0.9961155455816371,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,c74350c8-f970-c60d-af8a-f9c4d9c5bab2_124242_3.png,307494,1908182,1519154,19174,0.2856004413657819,0.1665891944076948,0.16833785162768086,0.9413043212068523,0.5902167392469481,0.2856004413657819,0.55675370024999,0.9900516562586258,0.8316621483723191,33688,3720316,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,3754004,0,0,,,,,1.0,,1.0,1.0,,0,3754004,0,0,,,,,1.0,,1.0,1.0,,0,3736599,17405,0,0.0,0.0,0.0,,0.9953636170872487,,0.9953636170872487,1.0,1.0,1857089,341182,19174,1536559,0.7047895116255284,0.5441505592732349,0.9897807503532288,0.5472249921028934,0.5855803563341968,0.7047895116255285,0.9467915061772247,0.18169811491574184,0.010219249646771268,0,3754004,0,0,,,,,1.0,,1.0,1.0,,0.25,1.75
HistoKit (no postprocessing),gaussian,be2180cd-04c9-2627-2456-4397fd5e59ee_103647_4.png,4398777,437239,27362,448746,0.9486601948615336,0.9023345166091098,0.9938180884061707,0.9074277729058737,0.9103733271286589,0.9486601948615336,0.9411064547859346,0.4935060977330316,0.006181911593829295,9981,5302143,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,398544,4513645,377840,22095,0.6658919669881029,0.4991289689522204,0.51333360811145,0.9474727735659318,0.9247127890839898,0.6658919669881029,0.9227555640056139,0.9951286890342039,0.48666639188855,2199,5283788,1115,25022,0.1440314393319142,0.07760446075663467,0.6635485817742909,0.08078321883839683,0.995079745879426,0.1440314393319142,0.9997890216717317,0.9952867026697132,0.3364514182257091,0,5312124,0,0,,,,,1.0,,1.0,1.0,,0,5312124,0,0,,,,,1.0,,1.0,1.0,,615,5209673,95691,6145,0.011934100479304523,0.0060028696645225525,0.006385894959815588,0.09097633136094675,0.9808295137688804,0.011934100479304523,0.981963348791902,0.9988218530631245,0.9936141050401844,0.25,1.75
HistoKit (no postprocessing),gaussian,332605c9-e7e2-297a-c808-98d567218fe3_115336_2.png,5444251,468840,13028,183737,0.9822498637155064,0.9651188722031634,0.9976127297138373,0.9673529865379955,0.9677954766855389,0.9822498637155064,0.9729635501838678,0.7184439537403249,0.002387270286162756,94815,6015041,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,352146,5604476,140687,12547,0.8213068758265055,0.6967944912738929,0.7145341322516958,0.9655957202359244,0.974920194518496,0.8213068758265055,0.9755120960014537,0.9977662544732325,0.2854658677483042,13124,6045928,45594,5210,0.3406530654622852,0.20529345513702915,0.2235089751013318,0.7158285153267154,0.9916849104136006,0.34065306546228524,0.9925151710853215,0.9991390049276682,0.7764910248986682,0,6109856,0,0,,,,,1.0,,1.0,1.0,,0,6109856,0,0,,,,,1.0,,1.0,1.0,,0,6099619,6211,4026,0.0,0.0,0.0,0.0,0.9983245104303604,,0.9989827754785181,0.9993403941415334,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,3e1fffa8-5bae-87b0-bc39-e4a1bc285608_122517_10.png,3512544,1692463,315387,1717486,0.7755705726708252,0.6334138622938545,0.9176090164634629,0.671610679097443,0.7191341939905055,0.7755705726708252,0.8429230271185596,0.49633088354107346,0.08239098353653711,853856,6384024,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,7237880,0,0,,,,,1.0,,1.0,1.0,,0,6929671,0,308209,0.0,0.0,,0.0,0.9574172271438598,,1.0,0.9574172271438598,,0,7237880,0,0,,,,,1.0,,1.0,1.0,,0,4994444,2243436,0,0.0,0.0,0.0,,0.6900423881025936,,0.6900423881025936,1.0,1.0,300385,6379823,12272,545400,0.5186017081562996,0.35007581081443306,0.9607493195418622,0.35515526995631275,0.9229509193299695,0.5186017081562996,0.9980801286589138,0.9212444133567973,0.03925068045813783,0.25,1.75
HistoKit (no postprocessing),gaussian,d9d9ce51-54c1-b32b-5fae-fd9ffdaa32e5_111717_1.png,7402661,300102,7598,645649,0.9577420781962418,0.9189108167570931,0.9989746647181967,0.9197783137080953,0.9218230949939026,0.9577420781962418,0.975307117322067,0.31731608002529205,0.0010253352818032405,113780,8242230,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,8347028,7302,1680,0.0,0.0,0.0,0.0,0.9989250850585387,,0.9991259622255765,0.999798771258978,1.0,9,8163770,0,192231,9.362857544122466e-05,4.6816479400749066e-05,1.0,4.6816479400749066e-05,0.976994881528385,9.362857544122466e-05,1.0,0.9769948567502565,0.0,0,8356010,0,0,,,,,1.0,,1.0,1.0,,0,7650803,705207,0,0.0,0.0,0.0,,0.9156048161742267,,0.9156048161742267,1.0,1.0,0,8236557,119453,0,0.0,0.0,0.0,,0.9857045408035653,,0.9857045408035653,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,04e13be9-17d6-1bd0-76ee-d5d53a64912e_105258_2.png,3255604,114396,7976,914376,0.8759205548889092,0.7792336731167107,0.9975560580711978,0.7807241281732766,0.7851173435915787,0.8759205548889092,0.9348216912365573,0.11119664998658595,0.002443941928802113,24289,4268063,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4292352,0,0,,,,,1.0,,1.0,1.0,,0,4194269,0,98083,0.0,0.0,,0.0,0.9771493577413968,,1.0,0.9771493577413968,,0,4292352,0,0,,,,,1.0,,1.0,1.0,,0,3303101,989251,0,0.0,0.0,0.0,,0.769531715945011,,0.769531715945011,1.0,1.0,0,4277120,15232,0,0.0,0.0,0.0,,0.9964513627959682,,0.9964513627959682,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,b91bdd22-8eea-af27-bee7-880d6f1d7c1e_121440_5.png,3225133,799687,311929,4775391,0.5590654752215931,0.38798811854936205,0.9118112716146903,0.4031152209530276,0.4416986569565437,0.5590654752215931,0.7193914085439577,0.1434396074817249,0.08818872838530961,289303,8822837,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,9100698,11442,0,0.0,0.0,0.0,,0.9987443125325116,,0.9987443125325116,1.0,1.0,0,8714924,0,397216,0.0,0.0,,0.0,0.9564080446525185,,1.0,0.9564080446525185,,0,9112140,0,0,,,,,1.0,,1.0,1.0,,0,4111086,5001054,0,0.0,0.0,0.0,,0.45116580737346,,0.45116580737346,1.0,1.0,114825,8528589,158454,310272,0.3288343242035809,0.1967694340340433,0.4201749860033153,0.2701148208526524,0.9485602723399772,0.32883432420358083,0.9817597311306046,0.9648968345582083,0.5798250139966847,0.25,1.75
