Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,10432243,212611519,114832,23048622,0.47389194225303294,0.31052318991923283,0.9891124316457407,0.3115882161347982,0.9059188663259975,0.473891942253033,0.9994601891140417,0.9021955011051275,0.010887568354259356,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,159863746,170025776,4448995,14313003,0.9445714016113174,0.8949647593910092,0.9729236152173981,0.9178248355066037,0.9461869605501791,0.9445714016113174,0.9745006399807798,0.9223548996166455,0.027076384782601857,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,15010433,33191764,7155,4155348,0.8782301709348778,0.7828969439005065,0.9995235586433721,0.7831892162390878,0.920509369861758,0.8782301709348777,0.9997844809344545,0.8887370996718568,0.00047644135662797517,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,60521934,325045093,65518,37368655,0.7637895271560051,0.617847481423491,0.9989186209712202,0.6182610056621479,0.9115033881700572,0.7637895271560052,0.9997984747412627,0.896889521420694,0.0010813790287797546,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.png,211138768,815543255,1108070,13111475,0.9674235049466459,0.9369025051230304,0.9947793332968287,0.9415319474146567,0.9863392030167448,0.9674235049466459,0.9986431541025174,0.9841773967789939,0.005220666703171333,0.25,1.75
HistoKit (no postprocessing),gaussian,normal_004.png,17085234,1294845329,104575,3206846,0.9116527718226795,0.837648820358044,0.9939164536383156,0.8419656338827759,0.9974822724332985,0.9116527718226796,0.9999192439802675,0.9975294937586002,0.006083546361684415,0.25,1.75
HistoKit (no postprocessing),gaussian,tumor_031.png,37630373,1305349592,93213,8803430,0.8942856580305741,0.8087854376906527,0.9975290525137245,0.810409024649564,0.9934190421319873,0.8942856580305741,0.9999285966419648,0.9933010617084743,0.0024709474862755626,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,291130667,299356611,3846710,41365212,0.9279460573535584,0.8655777666027302,0.9869593050181608,0.8755918054551287,0.9288784349579172,0.9279460573535584,0.9873131007031417,0.878595354897476,0.013040694981839235,0.25,1.75
HistoKit (no postprocessing),gaussian,tumor_021.png,172372525,1108144166,570654,67659919,0.8347830496523035,0.7164185599970953,0.9967003382076144,0.7181217760712381,0.9494118914483299,0.8347830496523035,0.9994853013690211,0.9424564688427665,0.0032996617923855788,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,78907299,266669722,792512,8007995,0.9471806172675641,0.8996610746368459,0.9900562875864285,0.9078643742492547,0.9751662949689067,0.947180617267564,0.9970369199862438,0.9708458513218238,0.00994371241357147,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6333-11A-01-TS1.924c9301-78b6-4330-be95-533b25cf1a91.png,9113647,71145257,317027,6209533,0.7363416621912693,0.5827062902684088,0.9663834207395993,0.5947621185680779,0.9247966226233463,0.7363416621912693,0.9955637158196623,0.9197265870672003,0.03361657926040069,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,10442956,212614664,111687,23037909,0.4742970604540318,0.31087117168115125,0.9894182114923262,0.3119081899467054,0.9059751522473655,0.4742970604540318,0.9994749733661346,0.9022378210994539,0.010581788507673827,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-FA-A82F-01Z-00-DX1.6D1B9A0A-FAA1-4E4D-9280-3D87F9929972.png,210079802,531848662,1171292,3891280,0.9880942897954598,0.97646873600084,0.9944554511987521,0.9818139911074526,0.9932227138532891,0.9880942897954597,0.9978025363005453,0.9927366251889429,0.005544548801247865,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16.png,185581377,213223230,1654232,137460649,0.7273741362385988,0.5715537904351211,0.9911649711887871,0.574480600242397,0.7413834521644994,0.7273741362385989,0.9923015099647817,0.6080211916442273,0.008835028811212935,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,161116296,170251017,4223754,13060453,0.9490917472981948,0.9031157047802718,0.9744541386070708,0.925016093853032,0.9504255509914312,0.9490917472981948,0.9757916059967203,0.9287526688864587,0.0255458613929293,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,15096900,33191725,7194,4068881,0.8810595311479835,0.7874051888139425,0.9995237052947367,0.7877007464501447,0.9221598710581747,0.8810595311479835,0.9997833061974096,0.8907993874281057,0.00047629470526335443,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,60479514,325044220,66391,37411075,0.7634543339490963,0.61740892787834,0.9989034601101429,0.6178276647206608,0.9114010409426735,0.7634543339490963,0.9997957895013153,0.896784305496213,0.0010965398898571258,0.5,1.75
