Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (postprocessed),gaussian,TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_R1.png,4367421,3718565,204882,679680,0.9080439910830235,0.8315756162957877,0.9551906336915992,0.8653325938989531,0.9013926462463608,0.9080439910830235,0.9477801025475813,0.8454656345883415,0.04480936630840082,0.25,1.75
HistoKit (postprocessed),gaussian,2-12_he_1_R3.png,4165665,3838845,122676,194094,0.9633711451070177,0.9293308213058304,0.9713931331486931,0.9554805667010493,0.9619325392247347,0.9633711451070177,0.9690331062235944,0.951872815333929,0.028606866851306836,0.25,1.75
HistoKit (postprocessed),gaussian,2-12_he_1_R4.png,5297137,4926086,179065,282128,0.9582837161017259,0.9199085498747033,0.9673012427226023,0.9494327657854574,0.9568349828385566,0.958283716101726,0.9649246417980585,0.9458301828611497,0.03269875727739773,0.25,1.75
HistoKit (postprocessed),gaussian,2-12_he_1_R2.png,5107759,5091873,192990,265682,0.9570298074139584,0.9176003439187516,0.9635919376676768,0.9505564497684073,0.9569657611567469,0.9570298074139584,0.9634824970864903,0.9504098418028373,0.03640806233232322,0.25,1.75
HistoKit (postprocessed),gaussian,1083_he_R1.png,0,17133612,4756404,0,0.0,0.0,0.0,,0.7827135439279715,,0.7827135439279715,1.0,1.0,0.25,1.75
HistoKit (postprocessed),gaussian,2-12_he_1_R1.png,4915925,4938959,161219,258713,0.9590381457584642,0.9212999898610477,0.9682461241989591,0.9500036524294067,0.9591299737143711,0.9590381457584642,0.9683895346397714,0.9502252162121811,0.0317538758010409,0.25,1.75
HistoKit (postprocessed),gaussian,33-12_he_2_R1.png,4074148,14264010,657713,486945,0.8768251731365505,0.7806666888939731,0.8610033134954725,0.893239405554765,0.9412478155108583,0.8768251731365505,0.9559224494383122,0.9669889169887644,0.1389966865045275,0.25,1.75
HistoKit (postprocessed),gaussian,11-22_he_R1.png,12283911,19168553,230597,761008,0.9612039424827481,0.9253057282293208,0.981573626386271,0.9416624970994454,0.9694364785132222,0.9612039424827481,0.9881130358804381,0.9618151147433704,0.018426373613728963,0.25,1.75
HistoKit (postprocessed),gaussian,390-02_he_2_R2.png,2672930,29049278,2705899,1594933,0.5541650961801206,0.3832838000493851,0.49693529948618925,0.6262923622431179,0.8806088547773869,0.5541650961801206,0.9147887287795624,0.9479532039509844,0.5030647005138107,0.25,1.75
HistoKit (postprocessed),gaussian,390-02_he_2_R1.png,3725534,27025829,1335185,2633116,0.6524938462011343,0.48422327746825866,0.7361669359630519,0.5859001517617733,0.8857045102740626,0.6524938462011343,0.9529218172523732,0.9112201732057563,0.2638330640369481,0.25,1.75
