"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","gaussian","76bd570a-7866-8dee-341c-c3f9290b76cf_114927_1.png",2687851,424582,59010,280936,0.940523629166807,0.88772496967267,0.978517296652433,0.905370105703104,0.901532827073737,0.940523629166807,0.877975648894109,0.60180179669406,0.0214827033475666,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","36c069a8-8f9e-b246-f3af-1b6cffe0751a_123150_5.png",2129231,342095,3756,1175787,0.783092696678286,0.643510557082472,0.998239089127125,0.644241877048779,0.676914455161223,0.783092696678286,0.989139831892925,0.225376544421767,0.00176091087287452,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","96e6b3f2-f43e-7954-4202-361d3af0da92_104636_1.png",4603427,249664,87275,368483,0.95283283650425,0.909914739231714,0.981394042938562,0.925887033353379,0.914151259529137,0.95283283650425,0.740976853377021,0.403890983859826,0.0186059570614377,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","32e0aaf3-9973-5f67-ccc7-24d8d8604aa6_110737_5.png",0,5465858,8050,0,0,0,0,NA,0.998529387048522,NA,0.998529387048522,1,1,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","db9f8afe-40d5-d8aa-882f-512377b755a1_120139_3.png",5419358,847859,337668,121015,0.959399238709724,0.921966689242215,0.94134679954546,0.978157607800052,0.931803476114721,0.959399238709724,0.715174770376381,0.875097277871013,0.0586532004545402,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","9761f929-4dae-801a-b291-ba7ecada0fc3_101038_1.png",5082682,269734,17717,977666,0.910813944622165,0.836233571046048,0.996526350193387,0.838678240919498,0.843192419923819,0.910813944622166,0.938365147451218,0.21623697290364,0.00347364980661317,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","96e6b3f2-f43e-7954-4202-361d3af0da92_104636_4.png",3204658,363270,3596,1841367,0.776484051484085,0.634633371494613,0.998879141115385,0.635085636714047,0.659153860663368,0.776484051484085,0.990198055965938,0.164775425614285,0.0011208588846145,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","0a6bb222-fb92-5dbe-8347-47a6b9e62ff2_125049_1.png",5580302,229641,44287,2017277,0.844082755566258,0.730227669524695,0.992126180241792,0.734484235043821,0.738097927118657,0.844082755566258,0.838326129493882,0.102202661601358,0.00787381975820811,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","16277008-7349-6ea9-1043-9abf63a9d11e_105523_2.png",6874407,373176,3689,1527422,0.899795908684107,0.817844539741632,0.999463659710478,0.818203631614021,0.825587838008706,0.899795908684107,0.990211348891513,0.196346623536382,0.000536340289521984,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","d7d9e09c-5b48-9d63-55ef-dabd0e7bf5cd_123455_3.png",0,3205983,2688,0,0,0,0,NA,0.999162269986546,NA,0.999162269986546,1,1,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","4c439187-b529-301f-82bf-3874dfa019f2_103211_1.png",5209173,2768302,6717,73088,0.992398185166131,0.984911073557122,0.998712204436827,0.986163500819062,0.990095292704238,0.992398185166131,0.997579476032416,0.974277378325397,0.0012877955631733,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","0fcbbf47-bbbc-4a27-0d18-fe35bf99ccdb_133554_3.png",1744906,238104,5404,907034,0.792733715713556,0.656635347173719,0.99691254692026,0.657973408146489,0.684871563916879,0.792733715713556,0.97780771062963,0.20792603162239,0.00308745307974016,0.25,1.75,"Breast","GrandQC"
"HistoKit (no postprocessing)","gaussian","aedd99b7-9b77-3379-0a55-09f4124063bb_103758_2.png",4536838,133759,20954,841973,0.913156739783204,0.840191749085377,0.99540259845118,0.843464847528571,0.844054710885866,0.913156739783204,0.864562124708331,0.137085798149492,0.00459740154882013,0.25,1.75,"Breast","GrandQC"
