Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,2-12_he_1_R3.png,4165665,3829281,122676,194094,0.9633711451070177,0.9293308213058304,0.9713931331486931,0.9554805667010493,0.9618887363331471,0.9633711451070177,0.9689581642715243,0.9517584117811538,0.028606866851306836,3560434,4572854,102808,75620,0.9755554508270387,0.9522774576863228,0.97193524206154,0.9792027291123839,0.9785329527621011,0.9755554508270385,0.9780120975382737,0.9837322958028807,0.028064757938459976,268847,7909442,91286,42141,0.8011878632914183,0.6683181115359184,0.7465214240294558,0.864493163723359,0.9839471175386647,0.8011878632914183,0.9885902882837662,0.9947003005565055,0.25347857597054424,0,8311716,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,8311716,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,8311716,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,8306801,0,4915,0.0,0.0,0.0,0.0,0.9994086660323813,0.0,1.0,0.9994086660323813,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R2.png,5107759,5072927,192990,265682,0.9570298074139584,0.9176003439187516,0.9635919376676768,0.9505564497684073,0.9568891280846081,0.9570298074139584,0.9633511124463222,0.9502338530504856,0.03640806233232322,4524363,5883172,114805,117018,0.9750205510471417,0.9512586345445699,0.9752531057293032,0.9747881072465285,0.978210809336428,0.9750205510471417,0.9808593797542071,0.9804976175754434,0.024746894270696814,543545,9869437,150809,75567,0.8276498972946388,0.7059750286068311,0.7828067527514784,0.8779429247050614,0.9787227763178944,0.8276498972946388,0.9849495710983542,0.9924015113518305,0.21719324724852165,5019,10633866,68,405,0.9549995243078679,0.9138747268754552,0.9866325928838215,0.9253318584070797,0.9999555424302857,0.9549995243078679,0.9999936053769001,0.9999619155840583,0.013367407116178493,0,10639358,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,10639358,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,10639358,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340_R1.png,4367421,3680221,204882,679680,0.9080439910830235,0.8315756162957877,0.9551906336915992,0.8653325938989531,0.9009693464233464,0.9080439910830235,0.9472647185930463,0.8441065519606982,0.04480936630840082,2830488,6015140,29108,57468,0.9849368913930662,0.970320843149139,0.9898209397411383,0.9801008048599078,0.9903074314021489,0.9849368913930662,0.9951841817212,0.9905365207172931,0.010179060258861741,37643,8798399,49882,46280,0.43911856656245624,0.2813273046597661,0.4300828334761497,0.44854211598727406,0.9892342360295399,0.43911856656245624,0.9943625208105393,0.994767475450494,0.5699171665238504,0,8932204,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,8932204,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,735155,7549775,549682,97592,0.694333731271109,0.5317849958298039,0.572177638097284,0.8828071431058893,0.9275347943239989,0.6943337312711089,0.9321334751206161,0.9872384835198834,0.42782236190271605,12879,8736663,115064,67598,0.12358698781306976,0.06586342506175176,0.10066201355291028,0.16003330144016303,0.9795501759700069,0.12358698781306977,0.9870009547289472,0.9923221267520351,0.8993379864470897,0.25,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R4.png,5297137,4893855,179065,282128,0.9582837161017259,0.9199085498747033,0.9673012427226023,0.9494327657854574,0.9567043756750375,0.958283716101726,0.964701789107654,0.9454928657995979,0.03269875727739773,4453726,5997053,130388,71018,0.9778889955250153,0.9567346317999146,0.9715565537855297,0.9843045263997255,0.9810925176384,0.9778889955250153,0.9787206437401845,0.9882964454437003,0.028443446214470234,357618,10040836,145996,107735,0.7381427850484072,0.5849653798403204,0.710103372821248,0.7684875782470512,0.9761803798938903,0.7381427850484071,0.9856681645481147,0.9893842197093561,0.289896627178752,43288,10570201,35073,3623,0.6911041573535985,0.5280054644808743,0.5524176567425122,0.9227686470124278,0.996367318066669,0.6911041573535986,0.9966928718673369,0.999657361423833,0.4475823432574878,0,10642291,9894,0,0.0,0.0,0.0,0.0,0.9990711764769388,0.0,0.9990711764769388,1.0,1.0,0,10652185,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,10616273,0,35912,0.0,0.0,0.0,0.0,0.9966286728966874,0.0,1.0,0.9966286728966874,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,1083_he_R1.png,0,16889836,4756404,0,0.0,0.0,0.0,0.0,0.7802665035590477,0.0,0.7802665035590477,1.0,1.0,8688111,12686438,0,271691,0.9846049218397666,0.9696766736586366,1.0,0.9696766736586366,0.9874485822941999,0.9846049218397666,1.0,0.9790331613460554,0.0,24220,21399454,10378,212188,0.17874143007903884,0.09814170982146475,0.7000404647667495,0.10245000169199012,0.9897180295515526,0.1787414300790388,0.9995152694332211,0.9901817733238409,0.2999595352332505,1294,21624451,10,20485,0.11211714248581207,0.0593877644683097,0.9923312883435583,0.05941503282979017,0.9990531842943624,0.11211714248581209,0.9999995375607281,0.999053589255242,0.007668711656441718,0,21646182,58,0,0.0,0.0,0.0,0.0,0.9999973205508208,0.0,0.9999973205508208,1.0,1.0,0,21646059,181,0,0.0,0.0,0.0,0.0,0.9999916382706651,0.0,0.9999916382706651,1.0,1.0,8013352,9065757,152232,4414899,0.7782282416072577,0.6369669590587261,0.9813568753931133,0.644769082954633,0.789010423981255,0.7782282416072578,0.9834853350334872,0.6725011750170021,0.01864312460688666,0.25,1.75
HistoKit (no postprocessing),gaussian,2-12_he_1_R1.png,4915925,4909696,161219,258713,0.9590381457584642,0.9212999898610477,0.9682461241989591,0.9500036524294067,0.9590132421353927,0.9590381457584642,0.9682071184391772,0.9499433965075132,0.0317538758010409,4679938,5383634,63184,118797,0.9809281358963984,0.9625701292020702,0.9866788161889996,0.9752441007890621,0.9822380500105753,0.9809281358963984,0.9883998327096665,0.978410088195563,0.013321183811000434,229758,9777844,195529,42422,0.658835471785762,0.491241348787387,0.540242236419171,0.8441399074142112,0.9767751921248174,0.658835471785762,0.9803948974935561,0.9956801577472545,0.4597577635808289,0,10245553,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,10245553,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,10245553,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,10245553,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.25,1.75
HistoKit (no postprocessing),gaussian,33-12_he_2_R1.png,4074148,14121316,657713,486945,0.8768251731365505,0.7806666888939731,0.8610033134954725,0.893239405554765,0.9408143340564242,0.8768251731365505,0.955496873306088,0.9666664635852276,0.1389966865045275,11666545,7502368,121017,50192,0.9927158431740508,0.9855370368399275,0.9897335004473359,0.9957162134816203,0.9911474705278488,0.9927158431740508,0.9841255557734524,0.9933543063544017,0.010266499552664071,2261605,15961348,360508,756661,0.8019336998453472,0.6693566956535122,0.8625124088855057,0.7493060585117415,0.9422356797956083,0.8019336998453472,0.9779125609244439,0.9547397659613653,0.1374875911144943,0,19315625,0,24497,0.0,0.0,0.0,0.0,0.9987333585589584,0.0,1.0,0.9987333585589584,0.0,0,19154633,185489,0,0.0,0.0,0.0,0.0,0.990409109104896,0.0,0.990409109104896,1.0,1.0,0,19340069,53,0,0.0,0.0,0.0,0.0,0.999997259582954,0.0,0.999997259582954,1.0,1.0,0,19307549,13044,19529,0.0,0.0,0.0,0.0,0.9983157810483305,0.0,0.9993248654427946,0.9989895523782747,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,11-22_he_R1.png,12283911,19054975,230597,761008,0.9612039424827481,0.9253057282293208,0.981573626386271,0.9416624970994454,0.9693291079309622,0.9612039424827481,0.9880430303026532,0.9615962528833417,0.018426373613728963,14561159,17625167,75232,68933,0.9950740579248966,0.9901964077772105,0.9948599350755251,0.9952882729650641,0.9955408966724322,0.9950740579248964,0.995749700331614,0.996104181619862,0.005140064924474893,219986,31831266,80164,199075,0.6117425901439216,0.4406550152736742,0.732920206563385,0.5249498283066188,0.9913629830119189,0.6117425901439216,0.9974879220392192,0.9937847992314537,0.26707979343661503,0,32316131,0,14360,0.0,0.0,0.0,0.0,0.9995558372435482,0.0,1.0,0.9995558372435482,0.0,0,32330491,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3912468,27401529,706903,309591,0.8850305889431913,0.7937711834662146,0.846969858017466,0.9266729811212965,0.9685592773707025,0.8850305889431912,0.9748508561416731,0.9888279145700354,0.15303014198253398,0,32070420,260071,0,0.0,0.0,0.0,0.0,0.9919558598723416,0.0,0.9919558598723416,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,390-02_he_2_R1.png,3725534,24596219,1335185,2633116,0.6524938462011343,0.48422327746825866,0.7361669359630519,0.5859001517617733,0.8771045412311791,0.6524938462011343,0.9485108866453972,0.9032985565016552,0.2638330640369481,14626466,16817332,767188,79068,0.971884424257558,0.9453065853571208,0.9501620602879602,0.9946232486355137,0.9737920537389005,0.971884424257558,0.956371399389918,0.9953204232854336,0.04983793971203978,23518,30337327,34736,1894473,0.023800692727875338,0.012043670210940905,0.4037147663679747,0.012261788506828238,0.9402537697831042,0.023800692727875338,0.9988563173993152,0.9412234811583592,0.5962852336320252,241080,30950810,846320,251844,0.30510199174346525,0.18001200677397097,0.22170314511679234,0.4890814811208219,0.965990642195891,0.30510199174346525,0.9733837613646263,0.9919287634955668,0.7782968548832077,0,32117651,172403,0,0.0,0.0,0.0,0.0,0.9946608017440912,0.0,0.9946608017440912,1.0,1.0,0,32153375,136679,0,0.0,0.0,0.0,0.0,0.9957671486086707,0.0,0.9957671486086707,1.0,1.0,8125731,21219885,2255214,689224,0.8466110992451513,0.734020501403366,0.7827544602153272,0.9218119661416309,0.9088128499258626,0.8466110992451513,0.9039316511508642,0.9685416691294931,0.2172455397846728,0.25,1.75
HistoKit (no postprocessing),gaussian,390-02_he_2_R2.png,2672930,27956547,2705899,1594933,0.5541650961801206,0.3832838000493851,0.49693529948618925,0.6262923622431179,0.8768739205828382,0.5541650961801206,0.9117520174352692,0.9460286591399145,0.5030647005138107,18407157,16127007,308414,87731,0.9893539340646134,0.9789321577667582,0.9835209943634634,0.9952564730318995,0.9886589895325575,0.9893539340646135,0.9812347976969985,0.994589428457,0.01647900563653655,699706,32507799,154701,1568103,0.4482111423424901,0.2888351338074972,0.8189375789290115,0.3085383292861083,0.9506788216502752,0.4482111423424901,0.9952636509758898,0.9539820545322616,0.1810624210709884,9154,34692262,23309,205584,0.07406118907285973,0.03845459090011636,0.28198256476604133,0.042628691708034905,0.9934471521565984,0.07406118907285973,0.9993285721845105,0.9941089773850226,0.7180174352339587,0,34918576,11733,0,0.0,0.0,0.0,0.0,0.9996641025992642,0.0,0.9996641025992642,1.0,1.0,0,34918175,12134,0,0.0,0.0,0.0,0.0,0.999652622597756,0.0,0.999652622597756,1.0,1.0,7855801,23175927,2069371,1829210,0.80119609286665,0.6683295642425098,0.7915027568287986,0.8111297963419969,0.8883897362602776,0.80119609286665,0.9180294484937354,0.9268466315541483,0.20849724317120147,0.25,1.75
